V1	V2
XP_015747210.1	GO:0043590;GO:0005737;GO:0030894;GO:0017117;GO:0005524;GO:0043140;GO:0004003;GO:0016887;GO:0003677;GO:0008094;GO:0009378;GO:0017116;GO:0046914;GO:0008270;GO:0006974;GO:0006310;GO:0006281;GO:0006260;GO:0009432;GO:0008026;GO:0003676;GO:0004386;GO:0006259
XP_015747211.1	GO:0030424;GO:0005954;GO:0005737;GO:0030425;GO:0005886;GO:0045211;GO:0048786;GO:0005524;GO:0005516;GO:0004683;GO:0004674;GO:0007268;GO:0007619;GO:0007611;GO:0007616;GO:0008049;GO:0007528;GO:0006468;GO:0051489;GO:0060278;GO:0008582;GO:0019233
XP_015747217.1	GO:0009986;GO:0034702;GO:0016020;GO:0005886;GO:0005225;GO:0006820;GO:0006884;GO:0002329;GO:0006970
XP_015747219.1	GO:0005615;GO:0030173;GO:0016971;GO:0003756;GO:0045454;GO:0006457;GO:0005489;GO:0006118
XP_015747220.1	GO:0005739;GO:0046872;GO:0004722
XP_015747221.1	GO:0008375;GO:0000287;GO:0010125
XP_015747222.1	GO:0032791;GO:0004655;GO:0008270;GO:0006783;GO:0006782
XP_015747223.1	GO:0005737;GO:0000062;GO:0008289;GO:0004165
XP_015747230.1	GO:0033017;GO:0005524;GO:0004683;GO:0030154;GO:0007399;GO:0046777;GO:0048169;GO:0001666;GO:0006979
XP_015747245.1	GO:0005737;GO:0004198;GO:0008234;GO:0008233;GO:0003700;GO:0008270;GO:0004197;GO:0006508;GO:0005622;GO:0005509
XP_015747248.1	GO:0005737;GO:0070062;GO:0004177;GO:0030145;GO:0070006;GO:0042803;GO:0010815;GO:0006508;GO:0008451
XP_015747249.1	GO:0005737;GO:0051260
XP_015747251.1	GO:0015629;GO:0005912;GO:0005829;GO:0005886;GO:0005198;GO:0007015;GO:0090136
XP_015747252.1	GO:0032279;GO:0030673;GO:0030425;GO:0012505;GO:0005887;GO:0005882;GO:0016020;GO:0043025;GO:0005886;GO:0014069;GO:0045211;GO:0048786;GO:0042734;GO:0019899;GO:0001609;GO:0042802;GO:0001973;GO:0007189;GO:0048143;GO:0042755;GO:0060079;GO:0007186;GO:0060080;GO:0007626;GO:0051899;GO:0046636;GO:0008285;GO:0043154;GO:0050728;GO:0040013;GO:0043524;GO:0006469;GO:0043116;GO:0048812;GO:0014057;GO:0010579;GO:2001235;GO:0030819;GO:0045938;GO:0014049;GO:0050714;GO:0035815;GO:0032230;GO:0051968;GO:0035810;GO:0060134;GO:0007205;GO:0051924;GO:0051881;GO:0014061;GO:0048167;GO:0006355;GO:0001975;GO:0031000;GO:0042493;GO:0007271;GO:0001963;GO:0035249;GO:0042311
XP_015747253.1	GO:0005887;GO:0016020;GO:0005886;GO:0019899;GO:0001609;GO:0042802;GO:0007188;GO:0006915;GO:0008015;GO:0007596;GO:0006171;GO:0007267;GO:0006968;GO:0044267;GO:0007417;GO:0006954;GO:0006909;GO:0010579;GO:0007600
XP_015747259.1	GO:0016021;GO:0005886;GO:0004969;GO:0048565;GO:0003382;GO:0001696;GO:0001698;GO:0048732;GO:0001697;GO:0006955;GO:0007613;GO:0045907;GO:0048167;GO:1901998;GO:0008542;GO:0001584;GO:0007186;GO:0008502
XP_015747261.1	GO:0016323;GO:0016021;GO:0015095;GO:0015081;GO:0070166;GO:0010960;GO:0015693;GO:0050896;GO:0007601
XP_015747262.1	GO:0005576;GO:0005578;GO:0005509;GO:0030246;GO:0005201;GO:0005540;GO:0007155;GO:0007417;GO:0001501
XP_015747263.1	GO:0070062;GO:0000139;GO:0042803;GO:0010634;GO:0010718;GO:0070374;GO:0005576
XP_015747272.1	GO:0005912;GO:0005737;GO:0031234;GO:0005886;GO:0005524;GO:0004715;GO:0004713;GO:0005102;GO:0051017;GO:0034332;GO:0043277;GO:0007411;GO:0016477;GO:0048749;GO:0042742;GO:0007391;GO:0007395;GO:0090136;GO:0046529;GO:0007476;GO:0045087;GO:0036335;GO:0007254;GO:0042059;GO:0045886;GO:0007424;GO:0038083;GO:0018108;GO:0006468;GO:0042127;GO:0048167;GO:0007435;GO:0019233;GO:0007169;GO:0006099
XP_015747279.1	GO:0016607;GO:0000166;GO:0003723;GO:0006397;GO:0006355;GO:0008380;GO:0006351
XP_015747283.1	GO:0005737;GO:0045171;GO:0005730;GO:0005634;GO:0005942;GO:0005886;GO:0016303;GO:0035005;GO:0005524;GO:0043560;GO:0016301;GO:0046934;GO:0060055;GO:0006914;GO:0006874;GO:0040016;GO:0006897;GO:0001935;GO:0007156;GO:0048015;GO:0016310;GO:0030168;GO:0010628;GO:0001952;GO:0009611;GO:0016773;GO:0004428;GO:0007242
XP_015747285.1	GO:0043186;GO:1990923;GO:0042803;GO:0003723;GO:0031047;GO:0051321;GO:0034587;GO:0003676;GO:0005622;GO:0008408
XP_015747287.1	GO:0005829;GO:0050660;GO:0004489;GO:0072341;GO:0032403;GO:0070829;GO:0050667;GO:0009086;GO:0006555;GO:0006730;GO:0031060;GO:0035999
XP_015747288.1	GO:0005720;GO:0016363;GO:0005654;GO:0005634;GO:0016605;GO:0003682;GO:0003690;GO:0000977;GO:0001227;GO:0050798;GO:0043367;GO:0043374;GO:0006921;GO:0006325;GO:0006338;GO:0008544;GO:0016571;GO:0000122;GO:0060004;GO:0006351;GO:0016032
XP_015747295.1	GO:0005829;GO:0070062;GO:0005654;GO:0047617;GO:0052689;GO:0036042;GO:0016290;GO:0006637;GO:0015937;GO:0036116;GO:0051792;GO:0036114;GO:1900535;GO:0003824
XP_015747297.1	GO:0005737;GO:0005783;GO:0005634;GO:0005524;GO:0004004;GO:1990247;GO:0044822;GO:0070063;GO:0008186;GO:0044829;GO:0070555;GO:0034612;GO:0006396
XP_015747300.1	GO:0000794;GO:0005769;GO:0000815;GO:0070062;GO:0005815;GO:0016363;GO:0000920;GO:0016458;GO:0007076;GO:0007080;GO:0045014;GO:0006997;GO:0015031;GO:0010824;GO:1901673;GO:0006351;GO:0007034;GO:0016192;GO:0005554
XP_015747301.1	GO:0015629;GO:0031463;GO:0005737;GO:0003779;GO:0016567;GO:0005515
XP_015747302.1	GO:0031463;GO:0030134;GO:0000139;GO:0043231;GO:0005815;GO:0042802;GO:0048208;GO:0006888;GO:0006513;GO:0016055
XP_015747308.1	GO:0004386;GO:1990247;GO:0003676;GO:0005524;GO:0008026
XP_015747312.1	GO:0005737;GO:0019897;GO:0005524;GO:0002250;GO:0050832;GO:0050829;GO:0036336;GO:0035397;GO:0045087;GO:2000778;GO:2000484;GO:0002827;GO:2000318;GO:0005515;GO:0042981;GO:0006915;GO:1900119
XP_015747315.1	GO:0008375;GO:0000287;GO:0010125
XP_015747329.1	GO:0005737;GO:0070286
XP_015747330.1	GO:0005737;GO:0070062;GO:0016853;GO:0009058;GO:0030277;GO:0010633;GO:0050680;GO:0010719;GO:0060394;GO:0060392;GO:0030512;GO:0003824
XP_015747331.1	GO:0005881;GO:0015630
XP_015747333.1	GO:0005788;GO:0016020;GO:0005739;GO:0016222;GO:0005506;GO:0031418;GO:0016702;GO:0004656;GO:0030199;GO:0018401;GO:0016706;GO:0019538
XP_015747335.1	GO:0005788;GO:0005506;GO:0031418;GO:0016702;GO:0004656
XP_015747336.1	GO:0005634;GO:0003677;GO:0030154;GO:0007399;GO:0006355;GO:0006351
XP_015747339.1	GO:0070062;GO:0005634;GO:0004252;GO:0004295;GO:0006508;GO:0004263;GO:0008236;GO:0004289;GO:0008132;GO:0008243;GO:0008991;GO:0016808
XP_015747340.1	GO:0046872;GO:0043565;GO:0016740;GO:0004803;GO:0015074;GO:0006310;GO:0006313;GO:0006950;GO:0033554;GO:0061077
XP_015747344.1	GO:0045177;GO:0016324;GO:0005903;GO:0005905;GO:0005737;GO:0030139;GO:0005783;GO:0005768;GO:0070062;GO:0005794;GO:0005765;GO:0005509;GO:0031419;GO:0042803;GO:0004872;GO:0008203;GO:0042953;GO:0015031;GO:0006898;GO:0005198;GO:0007155
XP_015747346.1	GO:0016021;GO:0005887;GO:0005886;GO:0008188;GO:0004995;GO:0050911;GO:0007186;GO:0050805;GO:0007218;GO:0042048;GO:1904058;GO:0007217
XP_015747348.1	GO:0005782;GO:0005524;GO:0004176;GO:0004252;GO:0006515;GO:0016558;GO:0016485;GO:0006625
XP_015747349.1	GO:0005737;GO:0016020;GO:0047677;GO:0004096;GO:0020037;GO:0047987;GO:0005506;GO:0019369;GO:0006633;GO:0031408;GO:0006118;GO:0016165;GO:0004051
XP_015747355.1	GO:0016021;GO:0097225
XP_015747369.1	GO:0000793;GO:0000779;GO:0042585;GO:0016020;GO:0000799;GO:0031618;GO:0003682;GO:0042393;GO:0035064;GO:0051301;GO:0051304;GO:0010032;GO:0007076
XP_015747370.1	GO:0016021;GO:0004871;GO:0043123
XP_015747377.1	GO:0003677;GO:0004527;GO:0046872
XP_015747383.1	GO:0005881;GO:0005875;GO:0035371
XP_015747384.1	GO:0005813;GO:0005737;GO:0030659;GO:0044354;GO:0005874;GO:0015630;GO:1990752;GO:0035371;GO:0005635;GO:0001726;GO:0008017;GO:0051010;GO:0015631;GO:0008270;GO:0001578;GO:1900006;GO:0031116;GO:0044861
XP_015747387.1	GO:0016811
XP_015747391.1	GO:0008953;GO:0046677
XP_015747394.1	GO:0005737;GO:0005654;GO:0005634;GO:0000347;GO:0000445;GO:0000346;GO:0003729;GO:0030224;GO:0031124;GO:0006406;GO:2000002;GO:0032786;GO:0060215;GO:0006405;GO:0008380;GO:0006369;GO:0046784
XP_015747395.1	GO:0005829;GO:0008375;GO:0000287;GO:0010125
XP_015747396.1	GO:0005829;GO:0004164;GO:0017183
XP_015747403.1	GO:0005789;GO:0016021;GO:0004800;GO:0042446
XP_015747411.1	GO:0005739;GO:0000287;GO:0004474
XP_015747414.1	GO:0005789;GO:0016021;GO:0050660;GO:0010181;GO:0050661;GO:0003958;GO:0005489;GO:0006118;GO:0016491
XP_015747415.1	GO:0015629;GO:0005737;GO:0005856;GO:0005654;GO:0003779;GO:0008307;GO:0007517;GO:0006939;GO:0008091
XP_015747416.1	GO:0005829;GO:0005764;GO:0005086;GO:0008093;GO:0030507;GO:0030036;GO:0031589;GO:0006935;GO:0043327;GO:0031154;GO:0072661;GO:0032012;GO:0007600
XP_015747418.1	GO:0034451;GO:0005814;GO:0005813;GO:0036064;GO:0005929;GO:0005829;GO:0016020;GO:0015630;GO:0005634;GO:0043014;GO:0043015;GO:0060271;GO:0060287;GO:0000086
XP_015747421.1	GO:0005737;GO:0005856;GO:0070062;GO:0016020;GO:0005654;GO:0031072;GO:0070389;GO:0006950;GO:0033554;GO:0061077
XP_015747428.1	GO:0005887;GO:0005886;GO:0015347;GO:0015349;GO:0043252;GO:0070327
XP_015747431.1	GO:0005605;GO:0005604;GO:0030054;GO:0009986;GO:0005737;GO:0070062;GO:0031012;GO:0005576;GO:0005615;GO:0005796;GO:0016021;GO:0005886;GO:0045202;GO:0030548;GO:0042030;GO:0005509;GO:0035374;GO:0002162;GO:0043395;GO:0044325;GO:0033691;GO:0030154;GO:0007268;GO:0006024;GO:0007275;GO:1903277;GO:1903407;GO:0007528;GO:0045213;GO:0007009;GO:0051491;GO:0043547;GO:0043525;GO:0032092;GO:2000541;GO:0001934;GO:0061098;GO:0045887;GO:0045944;GO:0043113;GO:0086036;GO:0055117;GO:0043087;GO:0008582
XP_015747432.1	GO:0005605;GO:0030054;GO:0005737;GO:0070062;GO:0031012;GO:0005576;GO:0005796;GO:0016021;GO:0043202;GO:0005886;GO:0045202;GO:0005509;GO:0035374;GO:0002162;GO:0043395;GO:0043236;GO:0033691;GO:0005200;GO:0045162;GO:0030198;GO:0007213;GO:0006024;GO:0006027;GO:0030203;GO:0051491;GO:0043547;GO:0045887;GO:0045944;GO:0043113;GO:0001523;GO:0007165;GO:0050808
XP_015747433.1	GO:0030054;GO:0005578;GO:0045202;GO:0005509
XP_015747434.1	GO:0022625;GO:0008201;GO:0003723;GO:0003735;GO:0002181;GO:0005622;GO:0005840;GO:0006412;GO:0042254
XP_015747435.1	GO:0008375;GO:0000287;GO:0010125
XP_015747448.1	GO:0030659;GO:0005615;GO:0016021;GO:0005886;GO:0032474
XP_015747450.1	GO:0005576;GO:0048471;GO:0005509;GO:0008201;GO:0060346;GO:0007155;GO:0003417;GO:0043931
XP_015747452.1	GO:0016021;GO:0005887;GO:0005654;GO:0005886;GO:0005509;GO:0004930;GO:0046983;GO:0004888;GO:0009952;GO:0045176;GO:0007417;GO:0048105;GO:0001736;GO:0042249;GO:0007186;GO:0001942;GO:0007156;GO:0042472;GO:0060490;GO:0007626;GO:0001843;GO:0001764;GO:0060488;GO:0090179;GO:0060489;GO:0090251;GO:0032956;GO:0007266;GO:0060071;GO:0042060;GO:0004872;GO:0004252;GO:0004289;GO:0008132;GO:0008243;GO:0008991;GO:0016808
XP_015747453.1	GO:0005737;GO:0005874;GO:0005525;GO:0003924;GO:0005200;GO:0007017
XP_015747454.1	GO:0005737;GO:0005622;GO:0005578;GO:0004860;GO:0019221;GO:0046426;GO:0006469;GO:0007601
XP_015747455.1	GO:0016021;GO:0005886;GO:0005262;GO:0005509;GO:0050982;GO:0060046;GO:0007218;GO:0016020;GO:0005261;GO:0006812;GO:0005216;GO:0006811
XP_015747456.1	GO:0005737;GO:0005874;GO:0005525;GO:0003924;GO:0005200;GO:0007017
XP_015747457.1	GO:0016021;GO:0004930;GO:0009881;GO:0007602;GO:0018298;GO:0007601
XP_015747458.1	GO:0016021;GO:0005886;GO:0046872;GO:0004222;GO:0016485;GO:0004245;GO:0006508;GO:0016020;GO:0008237;GO:0008270
XP_015747461.1	GO:0005952;GO:0030552;GO:0008603
XP_015747468.1	GO:0015030;GO:0035363;GO:0005654;GO:0008023;GO:0035327;GO:0045945;GO:0042795;GO:0042796
XP_015747469.1	GO:0032580;GO:0016021;GO:0008376;GO:0033842
XP_015747471.1	GO:0005737;GO:0005874;GO:0005525;GO:0003924;GO:0005200;GO:0007017
XP_015747472.1	GO:0005789;GO:0016021;GO:0031090;GO:0015020;GO:0008152;GO:0016758;GO:0003851
XP_015747473.1	GO:0005634;GO:0003677;GO:0008301;GO:0000981;GO:0043565;GO:0003700;GO:0009887;GO:0007507;GO:0007275;GO:0061146;GO:0030166;GO:0030111;GO:0006351;GO:0007495;GO:0006355
XP_015747474.1	GO:0016021;GO:0005886;GO:0004980
XP_015747475.1	GO:0000139;GO:0016021;GO:0030144;GO:0006487
XP_015747478.1	GO:0031252;GO:0005737;GO:0016020;GO:0046872;GO:0004222;GO:0008233;GO:0007420;GO:0007155;GO:0051301;GO:0051298;GO:0006338;GO:0022900;GO:0008354;GO:0008406;GO:0007444;GO:0019915;GO:0007100;GO:0007076;GO:0007052;GO:0045842;GO:1902769;GO:0006508;GO:0008237;GO:0008270
XP_015747480.1	GO:0042641;GO:0031252;GO:0005911;GO:0005737;GO:0070062;GO:0005886;GO:0005524;GO:0000287;GO:0004674;GO:0017048;GO:0030036;GO:0031532;GO:0031032;GO:0016477;GO:0035556;GO:0006468;GO:0004672;GO:0004182;GO:0006508;GO:0004713;GO:0005179;GO:0005576
XP_015747481.1	GO:0000139;GO:0016021;GO:0047223;GO:0006493
XP_015747482.1	GO:0005769;GO:0005887;GO:0016020;GO:0005886;GO:0004940;GO:0008144;GO:0005088;GO:0005057;GO:0031402;GO:0050824;GO:0071880;GO:0030819;GO:0043950;GO:0043547;GO:0045823
XP_015747483.1	GO:0016021;GO:0004930;GO:0009881;GO:0007602;GO:0018298;GO:0007601;GO:0001584;GO:0007186;GO:0004969;GO:0031808
XP_015747484.1	GO:0016021;GO:0005886;GO:0004940;GO:0007189;GO:0045823;GO:0001584;GO:0007186
XP_015747486.1	GO:0005737;GO:0043204;GO:0020037;GO:0046872;GO:0019825;GO:0005344;GO:0001666;GO:0005488;GO:0006810;GO:0005833;GO:0015671;GO:0008941
XP_015747487.1	GO:0005737;GO:0043204;GO:0020037;GO:0046872;GO:0019825;GO:0005344
XP_015747490.1	GO:0016021;GO:0005886;GO:0005524;GO:0042626
XP_015747491.1	GO:0030054;GO:0030425;GO:0060077;GO:0016021;GO:0043025;GO:0014069;GO:0045211;GO:0007156;GO:0007399;GO:0097151
XP_015747493.1	GO:0005739
XP_015747494.1	GO:0005764;GO:0005773;GO:0004565;GO:0005975
XP_015747495.1	GO:0030054;GO:0005737;GO:0005856;GO:0005829;GO:0030425;GO:0043197;GO:0031234;GO:0030175;GO:0030676;GO:0048813;GO:0010923;GO:0035023;GO:0007416
XP_015747498.1	GO:0005634;GO:0003677;GO:0008270;GO:0006355;GO:0006351
XP_015747503.1	GO:0005694;GO:0005737;GO:0005634;GO:0005524;GO:0043140;GO:0003677;GO:0009378;GO:0006284;GO:0042631;GO:0032508;GO:0006310;GO:0006260;GO:0006302
XP_015747507.1	GO:0005789;GO:0016021;GO:0015194;GO:0008654;GO:0016020
XP_015747515.1	GO:0005783;GO:0005789;GO:0016021;GO:0031966;GO:0005739
XP_015747516.1	GO:0016324;GO:0070062;GO:0005887;GO:0015129;GO:0015355;GO:0015293;GO:0006814;GO:0005215;GO:0006810;GO:0016020;GO:0008523
XP_015747517.1	GO:0005887;GO:0015355;GO:0015293;GO:0006814
XP_015747518.1	GO:0070062;GO:0005635;GO:0005634;GO:0004530;GO:0006915;GO:0006308
XP_015747519.1	GO:0005737;GO:0005794;GO:0031902;GO:0008289;GO:0006869;GO:0008202;GO:0097001;GO:0035620;GO:0070273
XP_015747538.1	GO:0005737;GO:0047105;GO:0019145
XP_015747539.1	GO:0030424;GO:0043679;GO:0030054;GO:0030425;GO:0005789;GO:0005887;GO:0044224;GO:0030027;GO:0031258;GO:0032809;GO:0043204;GO:0042734;GO:0008076;GO:0005251;GO:0005249;GO:0019228;GO:0021633;GO:0071805;GO:0051260;GO:0045188;GO:0014059;GO:0019233
XP_015747541.1	GO:0016021;GO:0005770;GO:0043025;GO:0005886;GO:0055037;GO:0015088;GO:0006878;GO:0072719;GO:0015677;GO:1902861;GO:0006855
XP_015747542.1	GO:0005887;GO:0005770;GO:0043025;GO:0005886;GO:0055037;GO:0005375;GO:0015088;GO:0006878;GO:0072719;GO:1902861;GO:0006825;GO:0006855;GO:0016021
XP_015747544.1	GO:0005737;GO:0016021;GO:0005770;GO:0043025;GO:0005886;GO:0055037;GO:0005375;GO:0015088;GO:0006878;GO:0072719;GO:0015677;GO:1902861;GO:0006855;GO:0006825
XP_015747546.1	GO:0016021;GO:0005770;GO:0016020;GO:0055037;GO:0006878;GO:0006811;GO:1902311;GO:0005375;GO:0006825
XP_015747547.1	GO:0005887;GO:0005770;GO:0055037;GO:0005375;GO:0006878;GO:0006825;GO:1902311
XP_015747549.1	GO:0016021;GO:0016020;GO:0005886;GO:0015098
XP_015747550.1	GO:0005737;GO:0008336;GO:0005506;GO:0008270;GO:0045329
XP_015747552.1	GO:0005829;GO:0070062;GO:0005739;GO:0008336;GO:0005506;GO:0008270;GO:0045329
XP_015747555.1	GO:0005737;GO:0005871;GO:0005874;GO:0005524;GO:0016887;GO:0003777;GO:0007018;GO:0000070;GO:0010507;GO:0006996;GO:0005875
XP_015747556.1	GO:0016021;GO:0031902;GO:0031201;GO:0005774;GO:0005484;GO:0000149;GO:0006887;GO:0015031;GO:0006906;GO:0016192
XP_015747558.1	GO:0005886;GO:0003824;GO:0007165
XP_015747561.1	GO:0030424;GO:0009925;GO:0009898;GO:0005829;GO:0005769;GO:0005883;GO:0055037;GO:0035612;GO:0001540;GO:0035615;GO:0030276;GO:0050750;GO:0005546;GO:0001784;GO:0030159;GO:0035591;GO:0042982;GO:0042632;GO:0008203;GO:0090205;GO:0048260;GO:0031623;GO:0006898;GO:0090118;GO:0090003;GO:0043393;GO:0006810
XP_015747562.1	GO:0015629;GO:0005887;GO:0008188;GO:0042277;GO:0032870;GO:0007268;GO:0045761;GO:2000479;GO:0043408;GO:1901652
XP_015747563.1	GO:0016021;GO:0005886;GO:0004969;GO:0001696;GO:0045907
XP_015747564.1	GO:0005930;GO:0005813;GO:0036064;GO:0005929;GO:0044292;GO:0005794;GO:0030992;GO:0032391;GO:0003677;GO:0006919;GO:0006915;GO:0042384;GO:0001947;GO:0042073;GO:0060972;GO:0050680;GO:0001843;GO:0042981;GO:0006355;GO:0007224;GO:0006351
XP_015747565.1	GO:0005737;GO:0005634;GO:0008540;GO:0043425;GO:0008022;GO:0003713;GO:0046676;GO:0032024;GO:0045944;GO:0045893;GO:0070682;GO:0097050
XP_015747567.1	GO:0000781;GO:0005737;GO:0005634;GO:0030915;GO:0006310;GO:0006281;GO:0006355;GO:0006351
XP_015747568.1	GO:0005776;GO:0000421;GO:0005930;GO:0005737;GO:0005789;GO:0044233;GO:0097629;GO:0097632;GO:0005634;GO:0045335;GO:0035032;GO:0034045;GO:0000045;GO:0006914;GO:0042149;GO:0009267;GO:0008333;GO:0016236;GO:0098779;GO:0001933;GO:0010508;GO:0043552;GO:0001934;GO:0010608;GO:0001932;GO:0090207
XP_015747569.1	GO:0005759;GO:0005739;GO:0003987;GO:0016208;GO:0005524;GO:0019413;GO:0006085;GO:0019427;GO:0019542;GO:0003824;GO:0008152
XP_015747571.1	GO:0005764;GO:0004197;GO:1901185;GO:0006508;GO:0051603;GO:0032801;GO:0003014;GO:0006624;GO:0001509
XP_015747572.1	GO:0005737;GO:0070062;GO:0005634;GO:0005839;GO:0019773;GO:0004298;GO:0052548;GO:0006511
XP_015747580.1	GO:0005829;GO:0070062;GO:0005634;GO:0000502;GO:0005839;GO:0019773;GO:0004298;GO:0002479;GO:0052548;GO:0006511
XP_015747581.1	GO:0016021;GO:0005886;GO:0005509;GO:0005245;GO:0006816;GO:0006952;GO:0086010
XP_015747582.1	GO:0005680;GO:0005813;GO:0005737;GO:0005829;GO:0005654;GO:0005634;GO:0005819;GO:0019903;GO:0031145;GO:0008283;GO:0007091;GO:0051436;GO:0051437;GO:0043161;GO:0070979;GO:0042787;GO:0051439;GO:0030071
XP_015747583.1	GO:0047971;GO:0046872;GO:0006527
XP_015747584.1	GO:0005769;GO:0031901;GO:0030139;GO:0070062;GO:0005811;GO:0005765;GO:0042470;GO:0005886;GO:0019003;GO:0005525;GO:0003924;GO:0048227;GO:0015031;GO:0030100;GO:0007264;GO:0006886;GO:0003925
XP_015747586.1	GO:0005739;GO:0044822;GO:0043024;GO:0019843;GO:0032543;GO:0006417
XP_015747588.1	GO:0005813;GO:0005737;GO:0031410;GO:0005829;GO:0005886;GO:0014069;GO:0016874;GO:0004842;GO:0008270;GO:0001568;GO:0006897;GO:0001947;GO:0001701;GO:0045665;GO:0001841;GO:0007219;GO:0045807;GO:0001756
XP_015747590.1	GO:0016021;GO:0016020;GO:0006457;GO:0031072;GO:0051082;GO:0003677;GO:0006306;GO:0008170;GO:0006950;GO:0033554;GO:0061077
