emblId	Go_terms
ENSDARG00000001129	GO:0000166;GO:0003677;GO:0003723;GO:0004386;GO:0004518;GO:0004519;GO:0004525;GO:0004530;GO:0005524;GO:0005634;GO:0005737;GO:0006309;GO:0006396;GO:0016442;GO:0016787;GO:0016891;GO:0021591;GO:0030422;GO:0030423;GO:0031047;GO:0031054;GO:0035195;GO:0035196;GO:0035279;GO:0046872;GO:0050767;GO:0070578;GO:0070883
ENSDARG00000001169	GO:0008152;GO:0016491
ENSDARG00000001210	GO:0003676;GO:0008150
ENSDARG00000001220	GO:0004842;GO:0005515;GO:0005737;GO:0007411;GO:0008270;GO:0016198;GO:0021986;GO:0031290;GO:0042068;GO:0046872;GO:0048066
ENSDARG00000001234	GO:0000166;GO:0004672;GO:0004674;GO:0005524;GO:0005737;GO:0006468;GO:0007346;GO:0008349;GO:0016301;GO:0016310;GO:0016740;GO:0031098;GO:0042981
ENSDARG00000001303	GO:0000502;GO:0004175;GO:0004298;GO:0005634;GO:0005737;GO:0005839;GO:0006508;GO:0008233;GO:0016787;GO:0051603
ENSDARG00000001313	GO:0004842;GO:0008270;GO:0016874;GO:0046872
ENSDARG00000001354	GO:0005328;GO:0005332;GO:0005887;GO:0006810;GO:0006836;GO:0007268;GO:0015293;GO:0015812;GO:0016020;GO:0016021;GO:0043005
ENSDARG00000001431	GO:0003779;GO:0005509;GO:0005575
ENSDARG00000001437	GO:0001885;GO:0002040;GO:0005215;GO:0005355;GO:0005886;GO:0006810;GO:0008643;GO:0016020;GO:0016021;GO:0022857;GO:0022891;GO:0043066;GO:0046323;GO:0055085;GO:0061300
ENSDARG00000001442	GO:0002376;GO:0003779;GO:0005737;GO:0005829;GO:0005856;GO:0007155;GO:0016020;GO:0016787;GO:0017124;GO:0030027;GO:0030175;GO:0042995;GO:0046856
ENSDARG00000001447	GO:0003677;GO:0004871;GO:0005634;GO:0007165;GO:0017053
ENSDARG00000001452	GO:0002020;GO:0004222;GO:0006508;GO:0007229;GO:0008237;GO:0008270;GO:0016020;GO:0016021
ENSDARG00000001463	GO:0003824;GO:0005575;GO:0050662
ENSDARG00000001470	GO:0002474;GO:0003823;GO:0005886;GO:0006955;GO:0016020;GO:0016021;GO:0019882;GO:0042605;GO:0042612
ENSDARG00000001498	GO:0002757;GO:0005070;GO:0005737;GO:0005886
ENSDARG00000001549	GO:0000981;GO:0003676;GO:0005634;GO:0006357;GO:0046872
ENSDARG00000001558	GO:0000166;GO:0003777;GO:0005524;GO:0005871;GO:0005874;GO:0007018;GO:0008017;GO:0016887
ENSDARG00000001578	GO:0003824;GO:0008152
ENSDARG00000001621	GO:0003677;GO:0003700;GO:0006355;GO:0016602
ENSDARG00000001634	GO:0016020;GO:0016021;GO:0042802
ENSDARG00000001656	GO:0000502;GO:0004175;GO:0004298;GO:0005634;GO:0005737;GO:0005839;GO:0006508;GO:0008233;GO:0016787;GO:0051603
ENSDARG00000001676	GO:0016020;GO:0016021
ENSDARG00000001686	GO:0000166;GO:0004849;GO:0005524;GO:0005829;GO:0006206;GO:0008152;GO:0016301;GO:0016310;GO:0016740;GO:0043097;GO:0044206;GO:0044211
ENSDARG00000001733	GO:0005737;GO:0006810;GO:0006909;GO:0006915
ENSDARG00000001734	GO:0003755;GO:0005528;GO:0005789;GO:0006457;GO:0016020;GO:0016021;GO:0061077
ENSDARG00000001767	GO:0005337;GO:0005887;GO:0006810;GO:0015858;GO:0016020;GO:0016021
ENSDARG00000001771	GO:0005576;GO:0005581;GO:0048840
ENSDARG00000001781	GO:0005887;GO:0007166;GO:0016020;GO:0016021
ENSDARG00000001782	GO:0000166;GO:0004672;GO:0004674;GO:0005524;GO:0005575;GO:0006468;GO:0016301;GO:0016310;GO:0016740
ENSDARG00000001788	GO:0015986;GO:0046933
ENSDARG00000001803	GO:0005216;GO:0005249;GO:0005267;GO:0006810;GO:0006811;GO:0006813;GO:0008016;GO:0016020;GO:0016021;GO:0055085;GO:0060047;GO:0060307;GO:0086013
ENSDARG00000001804	GO:0003674;GO:0009306;GO:0016020;GO:0016021;GO:0016192;GO:0030173
ENSDARG00000001807	GO:0002040;GO:0007165;GO:0014045;GO:0016020;GO:0016021
ENSDARG00000001818	GO:0004866;GO:0005576;GO:0005615
ENSDARG00000001829	GO:0003674;GO:0005575;GO:0008150
ENSDARG00000001859	GO:0003677;GO:0005634;GO:0006355;GO:0007275;GO:0021515;GO:0043565
ENSDARG00000001870	GO:0000166;GO:0005391;GO:0005524;GO:0005887;GO:0006810;GO:0006811;GO:0006813;GO:0006814;GO:0006883;GO:0010107;GO:0015991;GO:0016020;GO:0016021;GO:0016787;GO:0030007;GO:0036376;GO:0043231;GO:0046872
ENSDARG00000001873	GO:0004617;GO:0005575;GO:0006564;GO:0008152;GO:0009070;GO:0016616;GO:0051287;GO:0055114
ENSDARG00000001881	GO:0005245;GO:0005891;GO:0070588
ENSDARG00000001882	GO:0004842;GO:0031463
ENSDARG00000001888	GO:0000287;GO:0003824;GO:0004721;GO:0004722;GO:0006470;GO:0016787;GO:0030145;GO:0043169;GO:0046872
ENSDARG00000001889	GO:0000166;GO:0003924;GO:0005200;GO:0005525;GO:0005737;GO:0005856;GO:0005874;GO:0007017;GO:0021634;GO:0043066
ENSDARG00000001891	GO:0005509;GO:0016020;GO:0016021;GO:0019905;GO:0030276
ENSDARG00000001897	GO:0003824;GO:0004553;GO:0004559;GO:0005975;GO:0006013;GO:0006517;GO:0008152;GO:0008270;GO:0008933;GO:0015923;GO:0015924;GO:0015925;GO:0015926;GO:0015927;GO:0015928;GO:0015929;GO:0016160;GO:0016787;GO:0016798;GO:0030246;GO:0044653;GO:0044654;GO:0046872;GO:0052736;GO:0052769;GO:0052859
ENSDARG00000001898	GO:0003674;GO:0005575;GO:0008150
ENSDARG00000001906	GO:0004871;GO:0004930;GO:0004993;GO:0005887;GO:0007165;GO:0007186;GO:0007210;GO:0007214;GO:0007268;GO:0016020;GO:0016021;GO:0032098
ENSDARG00000001910	GO:0003677;GO:0003700;GO:0003707;GO:0004879;GO:0005634;GO:0006351;GO:0006355;GO:0008270;GO:0043401;GO:0043565;GO:0046872
ENSDARG00000001912	GO:0001588;GO:0001963;GO:0004871;GO:0004930;GO:0004952;GO:0005887;GO:0007165;GO:0007186;GO:0007195;GO:0016020;GO:0016021;GO:0035240
ENSDARG00000001929	GO:0000422;GO:0004672;GO:0004674;GO:0005524;GO:0005739;GO:0005829;GO:0006468;GO:0007005;GO:0016301;GO:0016310;GO:0016740;GO:0042981;GO:0048823;GO:0051402;GO:0060872;GO:0071542;GO:0090141;GO:1900746;GO:2000377
ENSDARG00000001930	GO:0004842;GO:0016567;GO:0031463;GO:0042787
ENSDARG00000001939	GO:0005975;GO:0015012;GO:0015018;GO:0016020;GO:0016021;GO:0016740;GO:0016757;GO:0030166;GO:0030198;GO:0030204;GO:0050650;GO:0051216
ENSDARG00000001940	GO:0003677;GO:0005634;GO:0005829;GO:0016020;GO:0016021
ENSDARG00000001950	GO:0000166;GO:0004017;GO:0004550;GO:0005524;GO:0005737;GO:0006139;GO:0006172;GO:0009142;GO:0016301;GO:0016310;GO:0016740;GO:0019205;GO:0046033;GO:0046034
ENSDARG00000001969	GO:0005575;GO:0008150;GO:0019905
ENSDARG00000001975	GO:0003845;GO:0008152;GO:0016020;GO:0016021;GO:0016491;GO:0033555;GO:0034650
ENSDARG00000001976	GO:0006457;GO:0016020;GO:0016021
ENSDARG00000001993	GO:0000166;GO:0003774;GO:0003779;GO:0005524;GO:0016459
ENSDARG00000002002	GO:0003714;GO:0005634;GO:0008150;GO:0008270;GO:0046872
ENSDARG00000002006	GO:0001034;GO:0003677;GO:0003700;GO:0003707;GO:0005634;GO:0006351;GO:0006355;GO:0008270;GO:0043401;GO:0043565;GO:0045892;GO:0046872
ENSDARG00000002013	GO:0005575;GO:0007165
ENSDARG00000002016	GO:0000209;GO:0000413;GO:0003755;GO:0004842;GO:0005634;GO:0006457;GO:0016567;GO:0016853;GO:0016874;GO:0034450
ENSDARG00000002020	GO:0008047;GO:0030010;GO:0030950;GO:0031532;GO:0031929;GO:0031932;GO:0032956;GO:0042325;GO:0051897
ENSDARG00000002021	GO:0004645;GO:0005737;GO:0005975;GO:0005980;GO:0008184;GO:0016740;GO:0016757;GO:0030170
ENSDARG00000002026	GO:0003676;GO:0003723
ENSDARG00000002037	GO:0003824;GO:0003873;GO:0005524;GO:0006000;GO:0006003;GO:0008152
ENSDARG00000002071	GO:0000166;GO:0000287;GO:0004019;GO:0005525;GO:0005737;GO:0006164;GO:0006167;GO:0016874;GO:0044208;GO:0046040;GO:0046872
ENSDARG00000002077	GO:0000079;GO:0005634;GO:0005675;GO:0006281;GO:0006357;GO:0007049;GO:0008270;GO:0046872
ENSDARG00000002084	GO:0016203;GO:0061053;GO:0070831
ENSDARG00000002127	GO:0005622;GO:0006886
ENSDARG00000002128	GO:0003824;GO:0005575
ENSDARG00000002165	GO:0000502;GO:0005737;GO:0008537;GO:0061133;GO:0061136;GO:2000045
ENSDARG00000002167	GO:0005245;GO:0005515;GO:0005891;GO:0006936;GO:0007268;GO:0007528;GO:0008331;GO:0016020;GO:0070588;GO:0070978;GO:1901385
ENSDARG00000002168	GO:0000166;GO:0003676
ENSDARG00000002172	GO:0001702;GO:0001945;GO:0004871;GO:0004930;GO:0004945;GO:0007165;GO:0007186;GO:0007275;GO:0007369;GO:0007507;GO:0016020;GO:0016021;GO:0016477;GO:0035479;GO:0042074;GO:0048738;GO:0055113
ENSDARG00000002174	GO:0003674
ENSDARG00000002190	GO:0005737;GO:0005768;GO:0005829;GO:0006810;GO:0007034;GO:0015031;GO:0016020;GO:0031902
ENSDARG00000002192	GO:0004860;GO:0005509;GO:0005518;GO:0005737;GO:0006469;GO:0019221;GO:0046426
ENSDARG00000002193	GO:0001750;GO:0004871;GO:0004930;GO:0007165;GO:0007186;GO:0007601;GO:0007602;GO:0008020;GO:0009583;GO:0009881;GO:0016020;GO:0016021;GO:0016038;GO:0018298;GO:0050896
ENSDARG00000002194	GO:0005887;GO:0006995;GO:0008519;GO:0015695;GO:0015696;GO:0016020;GO:0016021;GO:0019740;GO:0072488
ENSDARG00000002196	GO:0000976;GO:0005575;GO:0006355
ENSDARG00000002197	GO:0004645;GO:0005737;GO:0005975;GO:0005980;GO:0008184;GO:0016740;GO:0016757;GO:0030170
ENSDARG00000002210	GO:0000166;GO:0003401;GO:0004672;GO:0004702;GO:0005524;GO:0005737;GO:0006468;GO:0007346;GO:0007507;GO:0031098;GO:0032147;GO:0042981
ENSDARG00000002215	GO:0000166;GO:0003723;GO:0003824;GO:0003963;GO:0005524;GO:0005634;GO:0006396
ENSDARG00000002216	GO:0003677;GO:0003700;GO:0005634;GO:0006351;GO:0006355;GO:0035050
ENSDARG00000002217	GO:0000139;GO:0003674;GO:0005737;GO:0005794;GO:0005829;GO:0016020;GO:0016239;GO:0061635
ENSDARG00000002220	GO:0003674;GO:0005575;GO:0008150
ENSDARG00000002230	GO:0005215;GO:0006810;GO:0008021;GO:0016020;GO:0016021;GO:0030285;GO:0048168
ENSDARG00000002235	GO:0001666;GO:0003407;GO:0004222;GO:0005509;GO:0006508;GO:0008233;GO:0008237;GO:0008270;GO:0009948;GO:0010842;GO:0016020;GO:0016021;GO:0016787;GO:0030010;GO:0031012;GO:0031290;GO:0042074;GO:0046872;GO:0048701;GO:0051216;GO:0060026;GO:0060027
ENSDARG00000002240	GO:0000502;GO:0004175;GO:0004298;GO:0005634;GO:0005737;GO:0005839;GO:0006508;GO:0008233;GO:0016787;GO:0051603
ENSDARG00000002249	GO:0004497;GO:0005506;GO:0016020;GO:0016021;GO:0016491;GO:0016705;GO:0020037;GO:0046872;GO:0055114
ENSDARG00000002259	GO:0004089;GO:0005575;GO:0006730;GO:0008270;GO:0046872
ENSDARG00000002264	GO:0003735;GO:0005739;GO:0005762;GO:0005840;GO:0006412;GO:0006915;GO:0007049;GO:0030529
ENSDARG00000002267	GO:0000462;GO:0003674;GO:0005634;GO:0005730;GO:0006364;GO:0016567;GO:0030529;GO:0032040;GO:0042254;GO:0080008
ENSDARG00000002271	GO:0003677;GO:0008270;GO:0046872
ENSDARG00000002285	GO:0003674;GO:0005764;GO:0005770;GO:0008150;GO:0016020;GO:0016021
ENSDARG00000002293	GO:0005525
ENSDARG00000002295	GO:0005201;GO:0005581
ENSDARG00000002298	GO:0003674;GO:0008150;GO:0016020;GO:0016021
ENSDARG00000002299	GO:0003824;GO:0008152;GO:0008484;GO:0016020;GO:0016021
ENSDARG00000002300	GO:0001614;GO:0004931;GO:0005216;GO:0005524;GO:0005639;GO:0005887;GO:0006810;GO:0006811;GO:0016020;GO:0016021;GO:0033198;GO:0098655
ENSDARG00000002304	GO:0000727;GO:0000811;GO:0005634;GO:0006260;GO:0031298;GO:0043138;GO:1902975
ENSDARG00000002305	GO:0004470;GO:0004471;GO:0005575;GO:0006108;GO:0016491;GO:0046872;GO:0051287;GO:0055114
ENSDARG00000002311	GO:0005215;GO:0005575;GO:0006810;GO:0008289;GO:0033552;GO:0034694
ENSDARG00000002336	GO:0001756;GO:0001757;GO:0002244;GO:0005509;GO:0005737;GO:0005886;GO:0007154;GO:0007219;GO:0007275;GO:0016020;GO:0016021;GO:0021514;GO:0030154;GO:0030165;GO:0035907;GO:0042802;GO:0048471;GO:0048514;GO:0048666;GO:0060218;GO:0060842;GO:0061056
ENSDARG00000002347	GO:0004497;GO:0005506;GO:0005739;GO:0005743;GO:0006700;GO:0006704;GO:0008203;GO:0008386;GO:0016491;GO:0016705;GO:0016709;GO:0020037;GO:0031116;GO:0034650;GO:0044550;GO:0046872;GO:0055114;GO:0071375;GO:0090504
ENSDARG00000002353	GO:0007165
ENSDARG00000002362	GO:0016020;GO:0016021
ENSDARG00000002365	GO:0003677;GO:0005634;GO:0005783;GO:0016020;GO:0016021;GO:0046513;GO:0050291
ENSDARG00000002369	GO:0005737
ENSDARG00000002385	GO:0000077;GO:0000166;GO:0000723;GO:0004674;GO:0005524;GO:0006281;GO:0006974;GO:0008630;GO:0010212;GO:0010389;GO:0016301;GO:0016310;GO:0016572;GO:0016740;GO:0016773;GO:0090399
ENSDARG00000002391	GO:0003674;GO:0008150;GO:0016020;GO:0016021
ENSDARG00000002394	GO:0008152;GO:0015020;GO:0016020;GO:0016021;GO:0016740;GO:0016757;GO:0016758
ENSDARG00000002396	GO:0000719;GO:0003684;GO:0003904;GO:0003913;GO:0006281;GO:0018298;GO:0050660
ENSDARG00000002402	GO:0000166;GO:0003677;GO:0004003;GO:0004386;GO:0005506;GO:0005524;GO:0005634;GO:0005675;GO:0006265;GO:0006281;GO:0006283;GO:0006289;GO:0006351;GO:0006355;GO:0006366;GO:0006367;GO:0006915;GO:0006974;GO:0008094;GO:0008353;GO:0016705;GO:0016787;GO:0020037;GO:0043138;GO:0055114
ENSDARG00000002403	GO:0000226;GO:0000281;GO:0001755;GO:0003677;GO:0005634;GO:0005730;GO:0005737;GO:0005819;GO:0005856;GO:0005874;GO:0005876;GO:0007049;GO:0007067;GO:0008017;GO:0040001;GO:0051301
ENSDARG00000002405	GO:0005215;GO:0005328;GO:0005887;GO:0006810;GO:0006836;GO:0015293;GO:0016020;GO:0016021
ENSDARG00000002406	GO:0005737;GO:0005856;GO:0034451;GO:0036158;GO:0036159;GO:0044458;GO:0046872
ENSDARG00000002411	GO:0004114;GO:0007165;GO:0008081;GO:0016787;GO:0046872
ENSDARG00000002445	GO:0000122;GO:0000578;GO:0003676;GO:0003700;GO:0005634;GO:0005737;GO:0007521;GO:0010629;GO:0014032;GO:0014033;GO:0033333;GO:0035118;GO:0035138;GO:0045666;GO:0046872;GO:0048701;GO:0048702;GO:0048703;GO:0048869;GO:0051155;GO:0060037;GO:0060351
ENSDARG00000002467	GO:0008152;GO:0016020;GO:0016021;GO:0016491
ENSDARG00000002479	GO:0000166;GO:0000775;GO:0000776;GO:0000777;GO:0003677;GO:0004386;GO:0005524;GO:0005694;GO:0007049;GO:0007067;GO:0016539;GO:0016787;GO:0051301
ENSDARG00000002487	GO:0003682;GO:0005634;GO:0005730;GO:0007517;GO:0019216
ENSDARG00000002494	GO:0004872;GO:0007155;GO:0007160;GO:0007229;GO:0008305;GO:0016020;GO:0016021
ENSDARG00000002506	GO:0003674;GO:0005575;GO:0008150
ENSDARG00000002507	GO:0007155;GO:0007229;GO:0008305;GO:0016020;GO:0016021
ENSDARG00000002509	GO:0003674;GO:0008150;GO:0016020;GO:0016021
ENSDARG00000002510	GO:0003677;GO:0005634;GO:0006355;GO:0007275;GO:0030901;GO:0043565;GO:0050767;GO:0051726;GO:0060041
ENSDARG00000002523	GO:0005777;GO:0008152;GO:0008748;GO:0016491;GO:0043738;GO:0043826;GO:0043883;GO:0043914;GO:0052693;GO:0055114
ENSDARG00000002533	GO:0001609;GO:0001973;GO:0004871;GO:0004930;GO:0005886;GO:0007165;GO:0007186;GO:0016020;GO:0016021;GO:0098508;GO:1901532;GO:1902036
ENSDARG00000002538	GO:0003674;GO:0005634;GO:0005737;GO:0008150
ENSDARG00000002552	GO:0000165;GO:0000166;GO:0004672;GO:0004683;GO:0004871;GO:0005516;GO:0005524;GO:0005737;GO:0006468;GO:0006954;GO:0009931;GO:0016301;GO:0016310;GO:0016740;GO:0018105;GO:0035924;GO:0046777;GO:0048010;GO:0055113
ENSDARG00000002564	GO:0003674;GO:0008150;GO:0016020;GO:0016021;GO:0030672;GO:0031594
ENSDARG00000002571	GO:0005523;GO:0005865;GO:0006936;GO:0007015;GO:0030239;GO:0051694
ENSDARG00000002576	GO:0005509
ENSDARG00000002589	GO:0005509;GO:0005575
ENSDARG00000002591	GO:0000166;GO:0000812;GO:0003678;GO:0004386;GO:0005524;GO:0005634;GO:0006281;GO:0006310;GO:0006351;GO:0006355;GO:0006974;GO:0007507;GO:0016787;GO:0043141;GO:0060420;GO:0071339
ENSDARG00000002593	GO:0003674;GO:0009416;GO:0016020;GO:0016021;GO:0030318;GO:0043473
ENSDARG00000002600	GO:0004252;GO:0005615;GO:0006508;GO:0008233;GO:0008236;GO:0016485;GO:0016787
ENSDARG00000002601	GO:0003677;GO:0005634;GO:0006355;GO:0010842;GO:0021575;GO:0030182;GO:0030902;GO:0043565;GO:0060041;GO:0060059
ENSDARG00000002613	GO:0003677;GO:0005634;GO:0006260;GO:0006281;GO:0006310
ENSDARG00000002632	GO:0005509;GO:0005544
ENSDARG00000002659	GO:0005886;GO:0008017
ENSDARG00000002663	GO:0000042;GO:0005634;GO:0005737;GO:0005794;GO:0007409;GO:0016023;GO:0043122;GO:0051648;GO:0070530;GO:0090161
ENSDARG00000002666	GO:0005242;GO:0005244;GO:0005887;GO:0006810;GO:0006811;GO:0006813;GO:0010107;GO:0015272;GO:0016020;GO:0016021;GO:0034765
ENSDARG00000002670	GO:0003677;GO:0006352;GO:0010508;GO:0016020;GO:0016021
ENSDARG00000002682	GO:0008150
ENSDARG00000002690	GO:0005085;GO:0007264
ENSDARG00000002696	GO:0007165
ENSDARG00000002701	GO:0000166;GO:0005525;GO:0007165;GO:0007264;GO:0016020
ENSDARG00000002707	GO:0005515;GO:0030917;GO:0046982;GO:0046983;GO:0050768
ENSDARG00000002710	GO:0000166;GO:0001947;GO:0003676;GO:0006364;GO:0009303
ENSDARG00000002720	GO:0005634;GO:0005730;GO:0006364;GO:0045766
ENSDARG00000002722	GO:0030017;GO:0031432
ENSDARG00000002728	GO:0004930;GO:0005737;GO:0007186;GO:0008188;GO:0009986;GO:0016020;GO:0016021
ENSDARG00000002731	GO:0002040;GO:0009986;GO:0016020;GO:0016021;GO:0043206;GO:0048565;GO:0048813;GO:0055113;GO:0060973;GO:0070121
ENSDARG00000002732	GO:0003674;GO:0005578
ENSDARG00000002748	GO:0001755;GO:0005887;GO:0016020;GO:0016021;GO:0030215;GO:0030335;GO:0045499;GO:0048843;GO:0071526
ENSDARG00000002754	GO:0003674;GO:0005737
ENSDARG00000002760	GO:0005125;GO:0005160;GO:0005576;GO:0005615;GO:0008083;GO:0010862;GO:0030509;GO:0040007;GO:0042981;GO:0043408;GO:0048468;GO:0060395
ENSDARG00000002764	GO:0005506;GO:0005737;GO:0008199;GO:0016491;GO:0019310;GO:0046872;GO:0050113;GO:0055114
ENSDARG00000002768	GO:0005509;GO:0046872
ENSDARG00000002779	GO:0003677;GO:0003700;GO:0005634;GO:0006355;GO:0031016;GO:0031018;GO:0035469;GO:0043565;GO:0071907;GO:0071910
