seq	name.x	term	lev	value	swissProt	name.y	egn	db	description
ORTHOMCL2684	actinin binding	GO:0051393;GO:0042805	5	1	Q96RW7	HMCN1_HUMAN	HMCN1	HUMAN	hemicentin 1 [Source:HGNC Symbol;Acc:HGNC:19194]
ORTHOMCL5732	actinin binding	GO:0051393;GO:0042805	5	1	O43490	PROM1_HUMAN	PROM1	HUMAN	prominin 1 [Source:HGNC Symbol;Acc:HGNC:9454]
ORTHOMCL5783	actinin binding	GO:0051393;GO:0042805	5	1	Q3B7N2	ACTN1_BOVIN	ACTN1	BOVIN	actinin alpha 1 [Source:VGNC Symbol;Acc:VGNC:25581]
ORTHOMCL8545	actinin binding	GO:0051393;GO:0042805	5	1	Q15366	PCBP2_HUMAN	PCBP2	HUMAN	poly(rC) binding protein 2 [Source:HGNC Symbol;Acc:HGNC:8648]
ORTHOMCL9634	actinin binding	GO:0051393;GO:0042805	5	1	Q13507	TRPC3_HUMAN	TRPC3	HUMAN	transient receptor potential cation channel subfamily C member 3 [Source:HGNC Symbol;Acc:HGNC:12335]
ORTHOMCL9688	actinin binding	GO:0051393;GO:0042805	5	1	Q14118	DAG1_HUMAN	DAG1	HUMAN	dystroglycan 1 [Source:HGNC Symbol;Acc:HGNC:2666]
ORTHOMCL10346	cadherin binding	GO:0045296	4	1	Q9UHB6	LIMA1_HUMAN	LIMA1	HUMAN	LIM domain and actin binding 1 [Source:HGNC Symbol;Acc:HGNC:24636]
ORTHOMCL10542	cadherin binding	GO:0045296	4	1	P16086	SPTN1_RAT	SPTN1	RAT	none
ORTHOMCL12636	cadherin binding	GO:0045296	4	1	Q9Y490	TLN1_HUMAN	TLN1	HUMAN	talin 1 [Source:HGNC Symbol;Acc:HGNC:11845]
ORTHOMCL14894	cadherin binding	GO:0045296	4	1	Q6V0I7	FAT4_HUMAN	FAT4	HUMAN	FAT atypical cadherin 4 [Source:HGNC Symbol;Acc:HGNC:23109]
ORTHOMCL1599	cadherin binding	GO:0045296	4	1	Q1LUC1	BZW2_DANRE	BZW2	DANRE	basic leucine zipper and W2 domains 2 [Source:ZFIN;Acc:ZDB-GENE-040426-746]
ORTHOMCL16201	cadherin binding	GO:0045296	4	1	A1KZ92	PXDNL_HUMAN	PXDNL	HUMAN	peroxidasin like [Source:HGNC Symbol;Acc:HGNC:26359]
ORTHOMCL17211	cadherin binding	GO:0045296	4	1	P82279	CRUM1_HUMAN	CRUM1	HUMAN	crumbs 1, cell polarity complex component [Source:HGNC Symbol;Acc:HGNC:2343]
ORTHOMCL1772	cadherin binding	GO:0045296	4	1	Q92597	NDRG1_HUMAN	NDRG1	HUMAN	N-myc downstream regulated 1 [Source:HGNC Symbol;Acc:HGNC:7679]
ORTHOMCL17846	cadherin binding	GO:0045296	4	1	Q3U5C8	ARHGG_MOUSE	ARHGG	MOUSE	none
ORTHOMCL2788	cadherin binding	GO:0045296	4	1	Q99961	SH3G1_HUMAN	SH3G1	HUMAN	SH3 domain containing GRB2 like 1, endophilin A2 [Source:HGNC Symbol;Acc:HGNC:10830]
ORTHOMCL3303	cadherin binding	GO:0045296	4	1	O00299	CLIC1_HUMAN	CLIC1	HUMAN	chloride intracellular channel 1 [Source:HGNC Symbol;Acc:HGNC:2062]
ORTHOMCL5490	cadherin binding	GO:0045296	4	1	Q12955	ANK3_HUMAN	ANK3	HUMAN	ankyrin 3 [Source:HGNC Symbol;Acc:HGNC:494]
ORTHOMCL5732	cadherin binding	GO:0045296	4	1	O43490	PROM1_HUMAN	PROM1	HUMAN	prominin 1 [Source:HGNC Symbol;Acc:HGNC:9454]
ORTHOMCL6861	cadherin binding	GO:0045296	4	1	P25685	DNJB1_HUMAN	DNJB1	HUMAN	DnaJ heat shock protein family (Hsp40) member B1 [Source:HGNC Symbol;Acc:HGNC:5270]
ORTHOMCL7287	cadherin binding	GO:0045296	4	1	Q659C4	LAR1B_HUMAN	LAR1B	HUMAN	La ribonucleoprotein domain family member 1B [Source:HGNC Symbol;Acc:HGNC:24704]
ORTHOMCL7418	cadherin binding	GO:0045296	4	1	O43432	IF4G3_HUMAN	IF4G3	HUMAN	eukaryotic translation initiation factor 4 gamma 3 [Source:HGNC Symbol;Acc:HGNC:3298]
ORTHOMCL8494	cadherin binding	GO:0045296	4	1	Q01484	ANK2_HUMAN	ANK2	HUMAN	ankyrin 2 [Source:HGNC Symbol;Acc:HGNC:493]
ORTHOMCL8545	cadherin binding	GO:0045296	4	1	Q15366	PCBP2_HUMAN	PCBP2	HUMAN	poly(rC) binding protein 2 [Source:HGNC Symbol;Acc:HGNC:8648]
ORTHOMCL8658	cadherin binding	GO:0045296	4	1	Q14315	FLNC_HUMAN	FLNC	HUMAN	filamin C [Source:HGNC Symbol;Acc:HGNC:3756]
ORTHOMCL8697	cadherin binding	GO:0045296	4	1	Q08378	GOGA3_HUMAN	GOGA3	HUMAN	golgin A3 [Source:HGNC Symbol;Acc:HGNC:4426]
ORTHOMCL10405	calcium ion binding	GO:0005509	2	1	Q20176	NAS39_CAEEL	NAS39	CAEEL	none
ORTHOMCL10542	calcium ion binding	GO:0005509	2	1	P16086	SPTN1_RAT	SPTN1	RAT	none
ORTHOMCL10803	calcium ion binding	GO:0005509	2	1	P55115	NAS15_CAEEL	NAS15	CAEEL	none
ORTHOMCL10895	calcium ion binding	GO:0005509	2	1	Q9R0M0	CELR2_MOUSE	CELR2	MOUSE	none
ORTHOMCL11301	calcium ion binding	GO:0005509	2	1	O60462	NRP2_HUMAN	NRP2	HUMAN	neuropilin 2 [Source:HGNC Symbol;Acc:HGNC:8005]
ORTHOMCL11590	calcium ion binding	GO:0005509	2	1	Q42396	CDPKC_ARATH	CDPKC	ARATH	none
ORTHOMCL12073	calcium ion binding	GO:0005509	2	1	Q5THR3	EFCB6_HUMAN	EFCB6	HUMAN	EF-hand calcium binding domain 6 [Source:HGNC Symbol;Acc:HGNC:24204]
ORTHOMCL12474	calcium ion binding	GO:0005509	2	1	Q9FHN8	KN14E_ARATH	KN14E	ARATH	none
ORTHOMCL14401	calcium ion binding	GO:0005509	2	1	Q8NB59	SYT14_HUMAN	SYT14	HUMAN	synaptotagmin 14 [Source:HGNC Symbol;Acc:HGNC:23143]
ORTHOMCL14894	calcium ion binding	GO:0005509	2	1	Q6V0I7	FAT4_HUMAN	FAT4	HUMAN	FAT atypical cadherin 4 [Source:HGNC Symbol;Acc:HGNC:23109]
ORTHOMCL15391	calcium ion binding	GO:0005509	2	1	O60242	AGRB3_HUMAN	AGRB3	HUMAN	adhesion G protein-coupled receptor B3 [Source:HGNC Symbol;Acc:HGNC:945]
ORTHOMCL15545	calcium ion binding	GO:0005509	2	1	P48766	NAC1_CAVPO	NAC1	CAVPO	none
ORTHOMCL15828	calcium ion binding	GO:0005509	2	1	Q9Y6L7	TLL2_HUMAN	TLL2	HUMAN	tolloid like 2 [Source:HGNC Symbol;Acc:HGNC:11844]
ORTHOMCL16076	calcium ion binding	GO:0005509	2	1	P78357	CNTP1_HUMAN	CNTP1	HUMAN	contactin associated protein 1 [Source:HGNC Symbol;Acc:HGNC:8011]
ORTHOMCL16201	calcium ion binding	GO:0005509	2	1	A1KZ92	PXDNL_HUMAN	PXDNL	HUMAN	peroxidasin like [Source:HGNC Symbol;Acc:HGNC:26359]
ORTHOMCL16323	calcium ion binding	GO:0005509	2	1	A6BM72	MEG11_HUMAN	MEG11	HUMAN	multiple EGF like domains 11 [Source:HGNC Symbol;Acc:HGNC:29635]
ORTHOMCL17211	calcium ion binding	GO:0005509	2	1	P82279	CRUM1_HUMAN	CRUM1	HUMAN	crumbs 1, cell polarity complex component [Source:HGNC Symbol;Acc:HGNC:2343]
ORTHOMCL17727	calcium ion binding	GO:0005509	2	1	Q8WXG9	GPR98_HUMAN	GPR98	HUMAN	adhesion G protein-coupled receptor V1 [Source:HGNC Symbol;Acc:HGNC:17416]
ORTHOMCL1855	calcium ion binding	GO:0005509	2	1	Q7JQD3	GELS1_LUMTE	GELS1	LUMTE	none
ORTHOMCL18576	calcium ion binding	GO:0005509	2	1	Q96RW7	HMCN1_HUMAN	HMCN1	HUMAN	hemicentin 1 [Source:HGNC Symbol;Acc:HGNC:19194]
ORTHOMCL18882	calcium ion binding	GO:0005509	2	1	Q8WWZ8	OIT3_HUMAN	OIT3	HUMAN	oncoprotein induced transcript 3 [Source:HGNC Symbol;Acc:HGNC:29953]
ORTHOMCL19328	calcium ion binding	GO:0005509	2	1	Q9UGM3	DMBT1_HUMAN	DMBT1	HUMAN	deleted in malignant brain tumors 1 [Source:HGNC Symbol;Acc:HGNC:2926]
ORTHOMCL21753	calcium ion binding	GO:0005509	2	1	Q8NDA2	HMCN2_HUMAN	HMCN2	HUMAN	hemicentin 2 [Source:HGNC Symbol;Acc:HGNC:21293]
ORTHOMCL2684	calcium ion binding	GO:0005509	2	1	Q96RW7	HMCN1_HUMAN	HMCN1	HUMAN	hemicentin 1 [Source:HGNC Symbol;Acc:HGNC:19194]
ORTHOMCL3153	calcium ion binding	GO:0005509	2	1	O75340	PDCD6_HUMAN	PDCD6	HUMAN	programmed cell death 6 [Source:HGNC Symbol;Acc:HGNC:8765]
ORTHOMCL3238	calcium ion binding	GO:0005509	2	1	O94985	CSTN1_HUMAN	CSTN1	HUMAN	calsyntenin 1 [Source:HGNC Symbol;Acc:HGNC:17447]
ORTHOMCL4637	calcium ion binding	GO:0005509	2	1	P20073	ANXA7_HUMAN	ANXA7	HUMAN	annexin A7 [Source:HGNC Symbol;Acc:HGNC:545]
ORTHOMCL5710	calcium ion binding	GO:0005509	2	1	P08133	ANXA6_HUMAN	ANXA6	HUMAN	annexin A6 [Source:HGNC Symbol;Acc:HGNC:544]
ORTHOMCL5783	calcium ion binding	GO:0005509	2	1	Q3B7N2	ACTN1_BOVIN	ACTN1	BOVIN	actinin alpha 1 [Source:VGNC Symbol;Acc:VGNC:25581]
ORTHOMCL5964	calcium ion binding	GO:0005509	2	1	Q8TDW5	SYTL5_HUMAN	SYTL5	HUMAN	synaptotagmin like 5 [Source:HGNC Symbol;Acc:HGNC:15589]
ORTHOMCL6140	calcium ion binding	GO:0005509	2	1	P46531	NOTC1_HUMAN	NOTC1	HUMAN	notch 1 [Source:HGNC Symbol;Acc:HGNC:7881]
ORTHOMCL7131	calcium ion binding	GO:0005509	2	1	Q6H9L7	ISM2_HUMAN	ISM2	HUMAN	isthmin 2 [Source:HGNC Symbol;Acc:HGNC:23176]
ORTHOMCL8494	calcium ion binding	GO:0005509	2	1	Q01484	ANK2_HUMAN	ANK2	HUMAN	ankyrin 2 [Source:HGNC Symbol;Acc:HGNC:493]
ORTHOMCL9688	calcium ion binding	GO:0005509	2	1	Q14118	DAG1_HUMAN	DAG1	HUMAN	dystroglycan 1 [Source:HGNC Symbol;Acc:HGNC:2666]
ORTHOMCL15828	calcium-dependent protein binding	GO:0048306	3	1	Q9Y6L7	TLL2_HUMAN	TLL2	HUMAN	tolloid like 2 [Source:HGNC Symbol;Acc:HGNC:11844]
ORTHOMCL19328	calcium-dependent protein binding	GO:0048306	3	1	Q9UGM3	DMBT1_HUMAN	DMBT1	HUMAN	deleted in malignant brain tumors 1 [Source:HGNC Symbol;Acc:HGNC:2926]
ORTHOMCL3153	calcium-dependent protein binding	GO:0048306	3	1	O75340	PDCD6_HUMAN	PDCD6	HUMAN	programmed cell death 6 [Source:HGNC Symbol;Acc:HGNC:8765]
ORTHOMCL4637	calcium-dependent protein binding	GO:0048306	3	1	P20073	ANXA7_HUMAN	ANXA7	HUMAN	annexin A7 [Source:HGNC Symbol;Acc:HGNC:545]
ORTHOMCL5710	calcium-dependent protein binding	GO:0048306	3	1	P08133	ANXA6_HUMAN	ANXA6	HUMAN	annexin A6 [Source:HGNC Symbol;Acc:HGNC:544]
ORTHOMCL6604	calcium-dependent protein binding	GO:0048306	3	1	Q8WUM4	PDC6I_HUMAN	PDC6I	HUMAN	programmed cell death 6 interacting protein [Source:HGNC Symbol;Acc:HGNC:8766]
ORTHOMCL7507	calcium-dependent protein binding	GO:0048306	3	1	Q9NR16	C163B_HUMAN	C163B	HUMAN	CD163 molecule like 1 [Source:HGNC Symbol;Acc:HGNC:30375]
ORTHOMCL10346	cell adhesion molecule binding	GO:0050839	3	1	Q9UHB6	LIMA1_HUMAN	LIMA1	HUMAN	LIM domain and actin binding 1 [Source:HGNC Symbol;Acc:HGNC:24636]
ORTHOMCL10542	cell adhesion molecule binding	GO:0050839	3	1	P16086	SPTN1_RAT	SPTN1	RAT	none
ORTHOMCL11301	cell adhesion molecule binding	GO:0050839	3	1	O60462	NRP2_HUMAN	NRP2	HUMAN	neuropilin 2 [Source:HGNC Symbol;Acc:HGNC:8005]
ORTHOMCL12070	cell adhesion molecule binding	GO:0050839	3	1	P00451	FA8_HUMAN	FA8	HUMAN	coagulation factor VIII [Source:HGNC Symbol;Acc:HGNC:3546]
ORTHOMCL12269	cell adhesion molecule binding	GO:0050839	3	1	Q9P232	CNTN3_HUMAN	CNTN3	HUMAN	contactin 3 [Source:HGNC Symbol;Acc:HGNC:2173]
ORTHOMCL12483	cell adhesion molecule binding	GO:0050839	3	1	P18433	PTPRA_HUMAN	PTPRA	HUMAN	protein tyrosine phosphatase, receptor type A [Source:HGNC Symbol;Acc:HGNC:9664]
ORTHOMCL12636	cell adhesion molecule binding	GO:0050839	3	1	Q9Y490	TLN1_HUMAN	TLN1	HUMAN	talin 1 [Source:HGNC Symbol;Acc:HGNC:11845]
ORTHOMCL14676	cell adhesion molecule binding	GO:0050839	3	1	O60462	NRP2_HUMAN	NRP2	HUMAN	neuropilin 2 [Source:HGNC Symbol;Acc:HGNC:8005]
ORTHOMCL14894	cell adhesion molecule binding	GO:0050839	3	1	Q6V0I7	FAT4_HUMAN	FAT4	HUMAN	FAT atypical cadherin 4 [Source:HGNC Symbol;Acc:HGNC:23109]
ORTHOMCL1599	cell adhesion molecule binding	GO:0050839	3	1	Q1LUC1	BZW2_DANRE	BZW2	DANRE	basic leucine zipper and W2 domains 2 [Source:ZFIN;Acc:ZDB-GENE-040426-746]
ORTHOMCL16201	cell adhesion molecule binding	GO:0050839	3	1	A1KZ92	PXDNL_HUMAN	PXDNL	HUMAN	peroxidasin like [Source:HGNC Symbol;Acc:HGNC:26359]
ORTHOMCL17211	cell adhesion molecule binding	GO:0050839	3	1	P82279	CRUM1_HUMAN	CRUM1	HUMAN	crumbs 1, cell polarity complex component [Source:HGNC Symbol;Acc:HGNC:2343]
ORTHOMCL1772	cell adhesion molecule binding	GO:0050839	3	1	Q92597	NDRG1_HUMAN	NDRG1	HUMAN	N-myc downstream regulated 1 [Source:HGNC Symbol;Acc:HGNC:7679]
ORTHOMCL17846	cell adhesion molecule binding	GO:0050839	3	1	Q3U5C8	ARHGG_MOUSE	ARHGG	MOUSE	none
ORTHOMCL18576	cell adhesion molecule binding	GO:0050839	3	1	Q96RW7	HMCN1_HUMAN	HMCN1	HUMAN	hemicentin 1 [Source:HGNC Symbol;Acc:HGNC:19194]
ORTHOMCL20096	cell adhesion molecule binding	GO:0050839	3	1	P16621	LAR_DROME	LAR	DROME	Leukocyte-antigen-related-like [Source:FlyBase;Acc:FBgn0000464]
ORTHOMCL21753	cell adhesion molecule binding	GO:0050839	3	1	Q8NDA2	HMCN2_HUMAN	HMCN2	HUMAN	hemicentin 2 [Source:HGNC Symbol;Acc:HGNC:21293]
ORTHOMCL2684	cell adhesion molecule binding	GO:0050839	3	1	Q96RW7	HMCN1_HUMAN	HMCN1	HUMAN	hemicentin 1 [Source:HGNC Symbol;Acc:HGNC:19194]
ORTHOMCL2788	cell adhesion molecule binding	GO:0050839	3	1	Q99961	SH3G1_HUMAN	SH3G1	HUMAN	SH3 domain containing GRB2 like 1, endophilin A2 [Source:HGNC Symbol;Acc:HGNC:10830]
ORTHOMCL3303	cell adhesion molecule binding	GO:0050839	3	1	O00299	CLIC1_HUMAN	CLIC1	HUMAN	chloride intracellular channel 1 [Source:HGNC Symbol;Acc:HGNC:2062]
ORTHOMCL4637	cell adhesion molecule binding	GO:0050839	3	1	P20073	ANXA7_HUMAN	ANXA7	HUMAN	annexin A7 [Source:HGNC Symbol;Acc:HGNC:545]
ORTHOMCL5490	cell adhesion molecule binding	GO:0050839	3	1	Q12955	ANK3_HUMAN	ANK3	HUMAN	ankyrin 3 [Source:HGNC Symbol;Acc:HGNC:494]
ORTHOMCL5732	cell adhesion molecule binding	GO:0050839	3	1	O43490	PROM1_HUMAN	PROM1	HUMAN	prominin 1 [Source:HGNC Symbol;Acc:HGNC:9454]
ORTHOMCL5783	cell adhesion molecule binding	GO:0050839	3	1	Q3B7N2	ACTN1_BOVIN	ACTN1	BOVIN	actinin alpha 1 [Source:VGNC Symbol;Acc:VGNC:25581]
ORTHOMCL6861	cell adhesion molecule binding	GO:0050839	3	1	P25685	DNJB1_HUMAN	DNJB1	HUMAN	DnaJ heat shock protein family (Hsp40) member B1 [Source:HGNC Symbol;Acc:HGNC:5270]
ORTHOMCL7131	cell adhesion molecule binding	GO:0050839	3	1	Q6H9L7	ISM2_HUMAN	ISM2	HUMAN	isthmin 2 [Source:HGNC Symbol;Acc:HGNC:23176]
ORTHOMCL7287	cell adhesion molecule binding	GO:0050839	3	1	Q659C4	LAR1B_HUMAN	LAR1B	HUMAN	La ribonucleoprotein domain family member 1B [Source:HGNC Symbol;Acc:HGNC:24704]
ORTHOMCL7418	cell adhesion molecule binding	GO:0050839	3	1	O43432	IF4G3_HUMAN	IF4G3	HUMAN	eukaryotic translation initiation factor 4 gamma 3 [Source:HGNC Symbol;Acc:HGNC:3298]
ORTHOMCL8494	cell adhesion molecule binding	GO:0050839	3	1	Q01484	ANK2_HUMAN	ANK2	HUMAN	ankyrin 2 [Source:HGNC Symbol;Acc:HGNC:493]
ORTHOMCL8545	cell adhesion molecule binding	GO:0050839	3	1	Q15366	PCBP2_HUMAN	PCBP2	HUMAN	poly(rC) binding protein 2 [Source:HGNC Symbol;Acc:HGNC:8648]
ORTHOMCL8658	cell adhesion molecule binding	GO:0050839	3	1	Q14315	FLNC_HUMAN	FLNC	HUMAN	filamin C [Source:HGNC Symbol;Acc:HGNC:3756]
ORTHOMCL8697	cell adhesion molecule binding	GO:0050839	3	1	Q08378	GOGA3_HUMAN	GOGA3	HUMAN	golgin A3 [Source:HGNC Symbol;Acc:HGNC:4426]
ORTHOMCL10346	cytoskeletal protein binding	GO:0008092	3	1	Q9UHB6	LIMA1_HUMAN	LIMA1	HUMAN	LIM domain and actin binding 1 [Source:HGNC Symbol;Acc:HGNC:24636]
ORTHOMCL10542	cytoskeletal protein binding	GO:0008092	3	1	P16086	SPTN1_RAT	SPTN1	RAT	none
ORTHOMCL11621	cytoskeletal protein binding	GO:0008092	3	1	Q5T1M5	FKB15_HUMAN	FKB15	HUMAN	FK506 binding protein 15 [Source:HGNC Symbol;Acc:HGNC:23397]
ORTHOMCL11624	cytoskeletal protein binding	GO:0008092	3	1	Q8N3C7	CLIP4_HUMAN	CLIP4	HUMAN	CAP-Gly domain containing linker protein family member 4 [Source:HGNC Symbol;Acc:HGNC:26108]
ORTHOMCL1168	cytoskeletal protein binding	GO:0008092	3	1	Q7T070	RHBG_DANRE	RHBG	DANRE	Rh family, B glycoprotein (gene/pseudogene) [Source:ZFIN;Acc:ZDB-GENE-030131-9542]
ORTHOMCL11680	cytoskeletal protein binding	GO:0008092	3	1	Q5JR59	MTUS2_HUMAN	MTUS2	HUMAN	microtubule associated scaffold protein 2 [Source:HGNC Symbol;Acc:HGNC:20595]
ORTHOMCL11911	cytoskeletal protein binding	GO:0008092	3	1	Q8IY33	MILK2_HUMAN	MILK2	HUMAN	MICAL like 2 [Source:HGNC Symbol;Acc:HGNC:29672]
ORTHOMCL12015	cytoskeletal protein binding	GO:0008092	3	1	Q0P426	SKA2_DANRE	SKA2	DANRE	none
ORTHOMCL12283	cytoskeletal protein binding	GO:0008092	3	1	P29274	AA2AR_HUMAN	AA2AR	HUMAN	adenosine A2a receptor [Source:HGNC Symbol;Acc:HGNC:263]
