ortho	swissProt	name	egn	db	description
ORTHOMCL5673	Q96T37	RBM15_HUMAN	RBM15	HUMAN	RNA binding motif protein 15 [Source:HGNC Symbol;Acc:HGNC:14959]
ORTHOMCL5865	Q10588	BST1_HUMAN	BST1	HUMAN	bone marrow stromal cell antigen 1 [Source:HGNC Symbol;Acc:HGNC:1118]
ORTHOMCL7751	Q9Y6A1	POMT1_HUMAN	POMT1	HUMAN	protein O-mannosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:9202]
ORTHOMCL8347	Q9NZB8	MOCS1_HUMAN	MOCS1	HUMAN	molybdenum cofactor synthesis 1 [Source:HGNC Symbol;Acc:HGNC:7190]
ORTHOMCL8494	Q01484	ANK2_HUMAN	ANK2	HUMAN	ankyrin 2 [Source:HGNC Symbol;Acc:HGNC:493]
ORTHOMCL8535	O43182	RHG06_HUMAN	RHG06	HUMAN	Rho GTPase activating protein 6 [Source:HGNC Symbol;Acc:HGNC:676]
ORTHOMCL8674	Q14151	SAFB2_HUMAN	SAFB2	HUMAN	scaffold attachment factor B2 [Source:HGNC Symbol;Acc:HGNC:21605]
ORTHOMCL9048	Q6UXY8	TMC5_HUMAN	TMC5	HUMAN	transmembrane channel like 5 [Source:HGNC Symbol;Acc:HGNC:22999]
ORTHOMCL9288	B2RC85	R10B2_HUMAN	R10B2	HUMAN	radial spoke head 10 homolog B2 [Source:HGNC Symbol;Acc:HGNC:34385]
ORTHOMCL9624	Q96IG2	FXL20_HUMAN	FXL20	HUMAN	F-box and leucine rich repeat protein 20 [Source:HGNC Symbol;Acc:HGNC:24679]
ORTHOMCL9850	Q9Y4P3	TBL2_HUMAN	TBL2	HUMAN	transducin beta like 2 [Source:HGNC Symbol;Acc:HGNC:11586]
ORTHOMCL9992	O60244	MED14_HUMAN	MED14	HUMAN	mediator complex subunit 14 [Source:HGNC Symbol;Acc:HGNC:2370]
ORTHOMCL12345	O14657	TOR1B_HUMAN	TOR1B	HUMAN	torsin family 1 member B [Source:HGNC Symbol;Acc:HGNC:11995]
ORTHOMCL12981	Q9Y2I1	NISCH_HUMAN	NISCH	HUMAN	nischarin [Source:HGNC Symbol;Acc:HGNC:18006]
ORTHOMCL2145	P55010	IF5_HUMAN	IF5	HUMAN	eukaryotic translation initiation factor 5 [Source:HGNC Symbol;Acc:HGNC:3299]
ORTHOMCL2808	O60828	PQBP1_HUMAN	PQBP1	HUMAN	polyglutamine binding protein 1 [Source:HGNC Symbol;Acc:HGNC:9330]
ORTHOMCL4777	Q9H773	DCTP1_HUMAN	DCTP1	HUMAN	dCTP pyrophosphatase 1 [Source:HGNC Symbol;Acc:HGNC:28777]
ORTHOMCL5058	O00410	IPO5_HUMAN	IPO5	HUMAN	importin 5 [Source:HGNC Symbol;Acc:HGNC:6402]
ORTHOMCL5074	Q8IU60	DCP2_HUMAN	DCP2	HUMAN	decapping mRNA 2 [Source:HGNC Symbol;Acc:HGNC:24452]
ORTHOMCL5961	Q96MN5	TEAN2_HUMAN	TEAN2	HUMAN	transcription elongation factor A N-terminal and central domain containing 2 [Source:HGNC Symbol;Acc:HGNC:26494]
ORTHOMCL6052	Q6PJ21	SPSB3_HUMAN	SPSB3	HUMAN	splA/ryanodine receptor domain and SOCS box containing 3 [Source:HGNC Symbol;Acc:HGNC:30629]
ORTHOMCL7540	Q9UKM7	MA1B1_HUMAN	MA1B1	HUMAN	mannosidase alpha class 1B member 1 [Source:HGNC Symbol;Acc:HGNC:6823]
ORTHOMCL4425	A5PJG7	CCHL_BOVIN	CCHL	BOVIN	holocytochrome c synthase [Source:VGNC Symbol;Acc:VGNC:29770]
ORTHOMCL8813	A7MB34	F181B_BOVIN	F181B	BOVIN	family with sequence similarity 181 member B [Source:VGNC Symbol;Acc:VGNC:28764]
ORTHOMCL9321	Q1JPD3	D2HDH_BOVIN	D2HDH	BOVIN	D-2-hydroxyglutarate dehydrogenase [Source:VGNC Symbol;Acc:VGNC:27861]
ORTHOMCL4939	A6H7H7	FBX3_BOVIN	FBX3	BOVIN	F-box protein 3 [Source:VGNC Symbol;Acc:VGNC:28902]
ORTHOMCL5699	Q32KL4	RMD1_BOVIN	RMD1	BOVIN	Regulator of microtubule dynamics protein 1  [Source:UniProtKB/Swiss-Prot;Acc:Q32KL4]
ORTHOMCL5955	O77750	AQP4_BOVIN	AQP4	BOVIN	Bos taurus aquaporin 4 (AQP4), transcript variant 1, mRNA. [Source:RefSeq mRNA;Acc:NM_001317792]
ORTHOMCL7313	Q0P595	SIR7_BOVIN	SIR7	BOVIN	sirtuin 7 [Source:VGNC Symbol;Acc:VGNC:34636]
ORTHOMCL19048	Q6GMI9	UXS1_DANRE	UXS1	DANRE	UDP-glucuronate decarboxylase 1 [Source:ZFIN;Acc:ZDB-GENE-020419-37]
ORTHOMCL2593	Q6DGW9	TMCO1_DANRE	TMCO1	DANRE	transmembrane and coiled-coil domains 1 [Source:ZFIN;Acc:ZDB-GENE-050417-344]
ORTHOMCL7102	Q6NYK8	MARH5_DANRE	MARH5	DANRE	membrane-associated ring finger (C3HC4) 5, like [Source:ZFIN;Acc:ZDB-GENE-030131-4792]
ORTHOMCL3777	Q7SXR3	MAEA_DANRE	MAEA	DANRE	macrophage erythroblast attacher [Source:ZFIN;Acc:ZDB-GENE-030131-294]
ORTHOMCL5643	P09324	YES_CHICK	YES	CHICK	Tyrosine-protein kinase Yes  [Source:UniProtKB/Swiss-Prot;Acc:P09324]
ORTHOMCL6954	O18994	GPX5_PIG	GPX5	PIG	Epididymal secretory glutathione peroxidase  [Source:UniProtKB/Swiss-Prot;Acc:O18994]
ORTHOMCL10666	none	NA	NA	NA	none
ORTHOMCL10808	Q61467	ZIC4_MOUSE	ZIC4	MOUSE	none
ORTHOMCL11297	Q61090	FZD7_MOUSE	FZD7	MOUSE	none
ORTHOMCL11578	none	NA	NA	NA	none
ORTHOMCL21635	Q3UIR3	DTX3L_MOUSE	DTX3L	MOUSE	none
ORTHOMCL21812	none	NA	NA	NA	none
ORTHOMCL2511	Q28CM8	ARFG2_XENTR	ARFG2	XENTR	none
ORTHOMCL3321	none	NA	NA	NA	none
ORTHOMCL4243	none	NA	NA	NA	none
ORTHOMCL4486	Q9QZB9	DCTN5_MOUSE	DCTN5	MOUSE	none
ORTHOMCL7254	Q5R839	S41A1_PONAB	S41A1	PONAB	none
ORTHOMCL1154	Q27245	YH24_CAEEL	YH24	CAEEL	none
ORTHOMCL12385	Q7SIC1	FUCL_ANGAN	FUCL	ANGAN	none
ORTHOMCL1370	Q5R5S1	FBX21_PONAB	FBX21	PONAB	none
ORTHOMCL2299	A0QZA1	Y3950_MYCS2	Y3950	MYCS2	none
ORTHOMCL2315	Q5NC57	F183B_MOUSE	F183B	MOUSE	none
ORTHOMCL3900	Q8C5T8	CC113_MOUSE	CC113	MOUSE	none
ORTHOMCL4349	F8J2D3	PLB_DRYCN	PLB	DRYCN	none
ORTHOMCL4898	none	NA	NA	NA	none
ORTHOMCL5886	none	NA	NA	NA	none
ORTHOMCL7557	A6QQL0	S15A4_BOVIN	S15A4	BOVIN	none
ORTHOMCL8228	P35409	GLHR_ANTEL	GLHR	ANTEL	none
