ortho	swissProt	name	egn	db	description
33	ORTHOMCL10871	O15394	NCAM2_HUMAN	NCAM2	HUMAN	neural cell adhesion molecule 2 [Source:HGNC Symbol;Acc:HGNC:7657]
34	ORTHOMCL10894	Q96MG7	NSE3_HUMAN	NSE3	HUMAN	NSE3 homolog, SMC5-SMC6 complex component [Source:HGNC Symbol;Acc:HGNC:7677]
35	ORTHOMCL10908	Q9BY12	SCAPE_HUMAN	SCAPE	HUMAN	S-phase cyclin A associated protein in the ER [Source:HGNC Symbol;Acc:HGNC:13081]
36	ORTHOMCL10914	Q92824	PCSK5_HUMAN	PCSK5	HUMAN	proprotein convertase subtilisin/kexin type 5 [Source:HGNC Symbol;Acc:HGNC:8747]
37	ORTHOMCL10918	Q9H720	PG2IP_HUMAN	PG2IP	HUMAN	cell wall biogenesis 43 C-terminal homolog [Source:HGNC Symbol;Acc:HGNC:26133]
38	ORTHOMCL10976	Q8TEW0	PARD3_HUMAN	PARD3	HUMAN	par-3 family cell polarity regulator [Source:HGNC Symbol;Acc:HGNC:16051]
39	ORTHOMCL10982	Q96RW7	HMCN1_HUMAN	HMCN1	HUMAN	hemicentin 1 [Source:HGNC Symbol;Acc:HGNC:19194]
40	ORTHOMCL10993	O75164	KDM4A_HUMAN	KDM4A	HUMAN	lysine demethylase 4A [Source:HGNC Symbol;Acc:HGNC:22978]
41	ORTHOMCL11018	Q12950	FOXD4_HUMAN	FOXD4	HUMAN	forkhead box D4 [Source:HGNC Symbol;Acc:HGNC:3805]
42	ORTHOMCL11127	P98095	FBLN2_HUMAN	FBLN2	HUMAN	fibulin 2 [Source:HGNC Symbol;Acc:HGNC:3601]
43	ORTHOMCL11131	Q15032	R3HD1_HUMAN	R3HD1	HUMAN	R3H domain containing 1 [Source:HGNC Symbol;Acc:HGNC:9757]
44	ORTHOMCL11145	P52594	AGFG1_HUMAN	AGFG1	HUMAN	ArfGAP with FG repeats 1 [Source:HGNC Symbol;Acc:HGNC:5175]
45	ORTHOMCL11301	O60462	NRP2_HUMAN	NRP2	HUMAN	neuropilin 2 [Source:HGNC Symbol;Acc:HGNC:8005]
46	ORTHOMCL11367	Q9H3Y6	SRMS_HUMAN	SRMS	HUMAN	src-related kinase lacking C-terminal regulatory tyrosine and N-terminal myristylation sites [Source:HGNC Symbol;Acc:HGNC:11298]
47	ORTHOMCL11470	Q8NFU5	IPMK_HUMAN	IPMK	HUMAN	inositol polyphosphate multikinase [Source:HGNC Symbol;Acc:HGNC:20739]
48	ORTHOMCL11503	P09543	CN37_HUMAN	CN37	HUMAN	2',3'-cyclic nucleotide 3' phosphodiesterase [Source:HGNC Symbol;Acc:HGNC:2158]
49	ORTHOMCL11530	Q92547	TOPB1_HUMAN	TOPB1	HUMAN	DNA topoisomerase II binding protein 1 [Source:HGNC Symbol;Acc:HGNC:17008]
50	ORTHOMCL11718	Q2M389	WASC4_HUMAN	WASC4	HUMAN	WASH complex subunit 4 [Source:HGNC Symbol;Acc:HGNC:29174]
51	ORTHOMCL11737	O75165	DJC13_HUMAN	DJC13	HUMAN	DnaJ heat shock protein family (Hsp40) member C13 [Source:HGNC Symbol;Acc:HGNC:30343]
52	ORTHOMCL11739	O14795	UN13B_HUMAN	UN13B	HUMAN	unc-13 homolog B [Source:HGNC Symbol;Acc:HGNC:12566]
53	ORTHOMCL11744	Q8NDZ2	SIMC1_HUMAN	SIMC1	HUMAN	SUMO interacting motifs containing 1 [Source:HGNC Symbol;Acc:HGNC:24779]
54	ORTHOMCL11771	Q14684	RRP1B_HUMAN	RRP1B	HUMAN	ribosomal RNA processing 1B [Source:HGNC Symbol;Acc:HGNC:23818]
55	ORTHOMCL11778	O00468	AGRIN_HUMAN	AGRIN	HUMAN	agrin [Source:HGNC Symbol;Acc:HGNC:329]
56	ORTHOMCL11802	Q7Z407	CSMD3_HUMAN	CSMD3	HUMAN	CUB and Sushi multiple domains 3 [Source:HGNC Symbol;Acc:HGNC:19291]
57	ORTHOMCL11809	Q16667	CDKN3_HUMAN	CDKN3	HUMAN	cyclin dependent kinase inhibitor 3 [Source:HGNC Symbol;Acc:HGNC:1791]
58	ORTHOMCL11821	Q0VFZ6	CC173_HUMAN	CC173	HUMAN	coiled-coil domain containing 173 [Source:HGNC Symbol;Acc:HGNC:25064]
59	ORTHOMCL11829	Q6PKC3	TXD11_HUMAN	TXD11	HUMAN	thioredoxin domain containing 11 [Source:HGNC Symbol;Acc:HGNC:28030]
60	ORTHOMCL11940	Q96JK9	MAML3_HUMAN	MAML3	HUMAN	mastermind like transcriptional coactivator 3 [Source:HGNC Symbol;Acc:HGNC:16272]
61	ORTHOMCL11950	O94913	PCF11_HUMAN	PCF11	HUMAN	PCF11 cleavage and polyadenylation factor subunit [Source:HGNC Symbol;Acc:HGNC:30097]
62	ORTHOMCL11979	Q8WYB5	KAT6B_HUMAN	KAT6B	HUMAN	lysine acetyltransferase 6B [Source:HGNC Symbol;Acc:HGNC:17582]
63	ORTHOMCL12034	A0JNW5	UH1BL_HUMAN	UH1BL	HUMAN	UHRF1 binding protein 1 like [Source:HGNC Symbol;Acc:HGNC:29102]
64	ORTHOMCL12088	Q5VT52	RPRD2_HUMAN	RPRD2	HUMAN	regulation of nuclear pre-mRNA domain containing 2 [Source:HGNC Symbol;Acc:HGNC:29039]
65	ORTHOMCL12103	P43378	PTN9_HUMAN	PTN9	HUMAN	protein tyrosine phosphatase, non-receptor type 9 [Source:HGNC Symbol;Acc:HGNC:9661]
66	ORTHOMCL12126	Q6ZMW2	ZN782_HUMAN	ZN782	HUMAN	zinc finger protein 782 [Source:HGNC Symbol;Acc:HGNC:33110]
67	ORTHOMCL12204	Q9UBT2	SAE2_HUMAN	SAE2	HUMAN	ubiquitin like modifier activating enzyme 2 [Source:HGNC Symbol;Acc:HGNC:30661]
68	ORTHOMCL12227	P07942	LAMB1_HUMAN	LAMB1	HUMAN	laminin subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:6486]
69	ORTHOMCL12232	O15014	ZN609_HUMAN	ZN609	HUMAN	zinc finger protein 609 [Source:HGNC Symbol;Acc:HGNC:29003]
70	ORTHOMCL12267	O75179	ANR17_HUMAN	ANR17	HUMAN	ankyrin repeat domain 17 [Source:HGNC Symbol;Acc:HGNC:23575]
71	ORTHOMCL12274	P52948	NUP98_HUMAN	NUP98	HUMAN	nucleoporin 98 [Source:HGNC Symbol;Acc:HGNC:8068]
72	ORTHOMCL12286	P51815	ZN75D_HUMAN	ZN75D	HUMAN	zinc finger protein 75D [Source:HGNC Symbol;Acc:HGNC:13145]
73	ORTHOMCL12347	Q13370	PDE3B_HUMAN	PDE3B	HUMAN	phosphodiesterase 3B [Source:HGNC Symbol;Acc:HGNC:8779]
74	ORTHOMCL12391	Q9HAU5	RENT2_HUMAN	RENT2	HUMAN	UPF2, regulator of nonsense mediated mRNA decay [Source:HGNC Symbol;Acc:HGNC:17854]
75	ORTHOMCL12404	P14316	IRF2_HUMAN	IRF2	HUMAN	interferon regulatory factor 2 [Source:HGNC Symbol;Acc:HGNC:6117]
76	ORTHOMCL12483	P18433	PTPRA_HUMAN	PTPRA	HUMAN	protein tyrosine phosphatase, receptor type A [Source:HGNC Symbol;Acc:HGNC:9664]
77	ORTHOMCL12961	Q8N4B1	SESQ1_HUMAN	SESQ1	HUMAN	family with sequence similarity 109 member A [Source:HGNC Symbol;Acc:HGNC:26509]
78	ORTHOMCL12977	Q8N3S3	PHTF2_HUMAN	PHTF2	HUMAN	putative homeodomain transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:13411]
79	ORTHOMCL13009	Q68DC2	ANKS6_HUMAN	ANKS6	HUMAN	ankyrin repeat and sterile alpha motif domain containing 6 [Source:HGNC Symbol;Acc:HGNC:26724]
80	ORTHOMCL13036	Q9H4G4	GAPR1_HUMAN	GAPR1	HUMAN	GLI pathogenesis related 2 [Source:HGNC Symbol;Acc:HGNC:18007]
81	ORTHOMCL13038	Q14247	SRC8_HUMAN	SRC8	HUMAN	cortactin [Source:HGNC Symbol;Acc:HGNC:3338]
82	ORTHOMCL13063	Q12768	WASC5_HUMAN	WASC5	HUMAN	WASH complex subunit 5 [Source:HGNC Symbol;Acc:HGNC:28984]
83	ORTHOMCL13122	Q8IW19	APLF_HUMAN	APLF	HUMAN	aprataxin and PNKP like factor [Source:HGNC Symbol;Acc:HGNC:28724]
84	ORTHOMCL13133	Q9HAV5	TNR27_HUMAN	TNR27	HUMAN	ectodysplasin A2 receptor [Source:HGNC Symbol;Acc:HGNC:17756]
85	ORTHOMCL13190	Q9HD67	MYO10_HUMAN	MYO10	HUMAN	myosin X [Source:HGNC Symbol;Acc:HGNC:7593]
86	ORTHOMCL13196	Q96CC6	RHDF1_HUMAN	RHDF1	HUMAN	rhomboid 5 homolog 1 [Source:HGNC Symbol;Acc:HGNC:20561]
87	ORTHOMCL13203	Q13332	PTPRS_HUMAN	PTPRS	HUMAN	protein tyrosine phosphatase, receptor type S [Source:HGNC Symbol;Acc:HGNC:9681]
88	ORTHOMCL13206	P57052	RBM11_HUMAN	RBM11	HUMAN	RNA binding motif protein 11 [Source:HGNC Symbol;Acc:HGNC:9897]
89	ORTHOMCL13239	Q8TDD1	DDX54_HUMAN	DDX54	HUMAN	DEAD-box helicase 54 [Source:HGNC Symbol;Acc:HGNC:20084]
90	ORTHOMCL1323	O95169	NDUB8_HUMAN	NDUB8	HUMAN	NADH:ubiquinone oxidoreductase subunit B8 [Source:HGNC Symbol;Acc:HGNC:7703]
91	ORTHOMCL13255	O95405	ZFYV9_HUMAN	ZFYV9	HUMAN	zinc finger FYVE-type containing 9 [Source:HGNC Symbol;Acc:HGNC:6775]
92	ORTHOMCL13280	P12270	TPR_HUMAN	TPR	HUMAN	translocated promoter region, nuclear basket protein [Source:HGNC Symbol;Acc:HGNC:12017]
93	ORTHOMCL13281	Q9Y5T5	UBP16_HUMAN	UBP16	HUMAN	ubiquitin specific peptidase 16 [Source:HGNC Symbol;Acc:HGNC:12614]
94	ORTHOMCL13329	Q6UXG2	K1324_HUMAN	K1324	HUMAN	KIAA1324 [Source:HGNC Symbol;Acc:HGNC:29618]
95	ORTHOMCL13400	Q93063	EXT2_HUMAN	EXT2	HUMAN	exostosin glycosyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:3513]
96	ORTHOMCL13409	Q9P2P5	HECW2_HUMAN	HECW2	HUMAN	HECT, C2 and WW domain containing E3 ubiquitin protein ligase 2 [Source:HGNC Symbol;Acc:HGNC:29853]
97	ORTHOMCL13410	Q9NVE5	UBP40_HUMAN	UBP40	HUMAN	ubiquitin specific peptidase 40 [Source:HGNC Symbol;Acc:HGNC:20069]
98	ORTHOMCL13468	Q6ZT98	TTLL7_HUMAN	TTLL7	HUMAN	tubulin tyrosine ligase like 7 [Source:HGNC Symbol;Acc:HGNC:26242]
99	ORTHOMCL13515	A8MXY4	ZNF99_HUMAN	ZNF99	HUMAN	zinc finger protein 99 [Source:HGNC Symbol;Acc:HGNC:13175]
100	ORTHOMCL13551	Q9BX63	FANCJ_HUMAN	FANCJ	HUMAN	BRCA1 interacting protein C-terminal helicase 1 [Source:HGNC Symbol;Acc:HGNC:20473]
101	ORTHOMCL13563	Q08431	MFGM_HUMAN	MFGM	HUMAN	milk fat globule-EGF factor 8 protein [Source:HGNC Symbol;Acc:HGNC:7036]
102	ORTHOMCL13578	Q08J23	NSUN2_HUMAN	NSUN2	HUMAN	NOP2/Sun RNA methyltransferase family member 2 [Source:HGNC Symbol;Acc:HGNC:25994]
103	ORTHOMCL13635	Q9UBV2	SE1L1_HUMAN	SE1L1	HUMAN	SEL1L ERAD E3 ligase adaptor subunit [Source:HGNC Symbol;Acc:HGNC:10717]
104	ORTHOMCL13636	P11047	LAMC1_HUMAN	LAMC1	HUMAN	laminin subunit gamma 1 [Source:HGNC Symbol;Acc:HGNC:6492]
105	ORTHOMCL13640	Q9UBJ2	ABCD2_HUMAN	ABCD2	HUMAN	ATP binding cassette subfamily D member 2 [Source:HGNC Symbol;Acc:HGNC:66]
106	ORTHOMCL13645	P06276	CHLE_HUMAN	CHLE	HUMAN	butyrylcholinesterase [Source:HGNC Symbol;Acc:HGNC:983]
107	ORTHOMCL13655	Q6PIY7	GLD2_HUMAN	GLD2	HUMAN	poly(A) RNA polymerase D4, non-canonical [Source:HGNC Symbol;Acc:HGNC:26776]
108	ORTHOMCL13668	Q9BXT4	TDRD1_HUMAN	TDRD1	HUMAN	tudor domain containing 1 [Source:HGNC Symbol;Acc:HGNC:11712]
109	ORTHOMCL13669	O94966	UBP19_HUMAN	UBP19	HUMAN	ubiquitin specific peptidase 19 [Source:HGNC Symbol;Acc:HGNC:12617]
110	ORTHOMCL13702	A8MY62	BLML_HUMAN	BLML	HUMAN	lactamase beta like 1 [Source:HGNC Symbol;Acc:HGNC:35445]
111	ORTHOMCL13721	Q96HC4	PDLI5_HUMAN	PDLI5	HUMAN	PDZ and LIM domain 5 [Source:HGNC Symbol;Acc:HGNC:17468]
112	ORTHOMCL13733	Q9UIG0	BAZ1B_HUMAN	BAZ1B	HUMAN	bromodomain adjacent to zinc finger domain 1B [Source:HGNC Symbol;Acc:HGNC:961]
113	ORTHOMCL13776	Q92754	AP2C_HUMAN	AP2C	HUMAN	transcription factor AP-2 gamma [Source:HGNC Symbol;Acc:HGNC:11744]
114	ORTHOMCL13816	P35573	GDE_HUMAN	GDE	HUMAN	amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase [Source:HGNC Symbol;Acc:HGNC:321]
115	ORTHOMCL13823	Q56NI9	ESCO2_HUMAN	ESCO2	HUMAN	establishment of sister chromatid cohesion N-acetyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:27230]
116	ORTHOMCL13860	Q96T60	PNKP_HUMAN	PNKP	HUMAN	polynucleotide kinase 3'-phosphatase [Source:HGNC Symbol;Acc:HGNC:9154]
117	ORTHOMCL13945	Q9Y5Q9	TF3C3_HUMAN	TF3C3	HUMAN	general transcription factor IIIC subunit 3 [Source:HGNC Symbol;Acc:HGNC:4666]
118	ORTHOMCL14027	P98073	ENTK_HUMAN	ENTK	HUMAN	transmembrane serine protease 15 [Source:HGNC Symbol;Acc:HGNC:9490]
119	ORTHOMCL14222	Q8N653	LZTR1_HUMAN	LZTR1	HUMAN	leucine zipper like transcription regulator 1 [Source:HGNC Symbol;Acc:HGNC:6742]
120	ORTHOMCL14253	A0A1B0GVH7	IQCM_HUMAN	IQCM	HUMAN	IQ motif containing M [Source:HGNC Symbol;Acc:HGNC:53443]
121	ORTHOMCL14267	O94941	RNF37_HUMAN	RNF37	HUMAN	U-box domain containing 5 [Source:HGNC Symbol;Acc:HGNC:17777]
122	ORTHOMCL14293	Q6ZPD9	D19L3_HUMAN	D19L3	HUMAN	dpy-19 like C-mannosyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:27120]
123	ORTHOMCL14322	A6H8Y1	BDP1_HUMAN	BDP1	HUMAN	B double prime 1, subunit of RNA polymerase III transcription initiation factor IIIB [Source:HGNC Symbol;Acc:HGNC:13652]
124	ORTHOMCL14369	Q14667	K0100_HUMAN	K0100	HUMAN	KIAA0100 [Source:HGNC Symbol;Acc:HGNC:28960]
125	ORTHOMCL14385	Q8NDA2	HMCN2_HUMAN	HMCN2	HUMAN	hemicentin 2 [Source:HGNC Symbol;Acc:HGNC:21293]
126	ORTHOMCL14426	Q8IW92	GLBL2_HUMAN	GLBL2	HUMAN	galactosidase beta 1 like 2 [Source:HGNC Symbol;Acc:HGNC:25129]
127	ORTHOMCL14532	Q53G59	KLH12_HUMAN	KLH12	HUMAN	kelch like family member 12 [Source:HGNC Symbol;Acc:HGNC:19360]
128	ORTHOMCL14534	Q7L5Y6	DET1_HUMAN	DET1	HUMAN	DET1, COP1 ubiquitin ligase partner [Source:HGNC Symbol;Acc:HGNC:25477]
129	ORTHOMCL14642	Q9H1D0	TRPV6_HUMAN	TRPV6	HUMAN	transient receptor potential cation channel subfamily V member 6 [Source:HGNC Symbol;Acc:HGNC:14006]
130	ORTHOMCL14815	Q8IVF7	FMNL3_HUMAN	FMNL3	HUMAN	formin like 3 [Source:HGNC Symbol;Acc:HGNC:23698]
131	ORTHOMCL1483	O43852	CALU_HUMAN	CALU	HUMAN	calumenin [Source:HGNC Symbol;Acc:HGNC:1458]
132	ORTHOMCL14898	Q6QNK2	AGRD1_HUMAN	AGRD1	HUMAN	adhesion G protein-coupled receptor D1 [Source:HGNC Symbol;Acc:HGNC:19893]
133	ORTHOMCL14915	Q6YBV0	S36A4_HUMAN	S36A4	HUMAN	solute carrier family 36 member 4 [Source:HGNC Symbol;Acc:HGNC:19660]
134	ORTHOMCL14922	P13591	NCAM1_HUMAN	NCAM1	HUMAN	neural cell adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:7656]
135	ORTHOMCL14958	O14841	OPLA_HUMAN	OPLA	HUMAN	5-oxoprolinase, ATP-hydrolysing [Source:HGNC Symbol;Acc:HGNC:8149]
136	ORTHOMCL14991	Q9H9Y6	RPA2_HUMAN	RPA2	HUMAN	RNA polymerase I subunit B [Source:HGNC Symbol;Acc:HGNC:20454]
137	ORTHOMCL15091	O95248	MTMR5_HUMAN	MTMR5	HUMAN	SET binding factor 1 [Source:HGNC Symbol;Acc:HGNC:10542]
138	ORTHOMCL15126	Q5T2S8	ARMC4_HUMAN	ARMC4	HUMAN	armadillo repeat containing 4 [Source:HGNC Symbol;Acc:HGNC:25583]
139	ORTHOMCL15134	Q6ZMV7	LEKR1_HUMAN	LEKR1	HUMAN	leucine, glutamate and lysine rich 1 [Source:HGNC Symbol;Acc:HGNC:33765]
140	ORTHOMCL15141	Q7Z407	CSMD3_HUMAN	CSMD3	HUMAN	CUB and Sushi multiple domains 3 [Source:HGNC Symbol;Acc:HGNC:19291]
141	ORTHOMCL15170	Q96RW7	HMCN1_HUMAN	HMCN1	HUMAN	hemicentin 1 [Source:HGNC Symbol;Acc:HGNC:19194]
142	ORTHOMCL15207	Q8WZ64	ARAP2_HUMAN	ARAP2	HUMAN	ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 2 [Source:HGNC Symbol;Acc:HGNC:16924]
143	ORTHOMCL15223	O75478	TAD2A_HUMAN	TAD2A	HUMAN	transcriptional adaptor 2A [Source:HGNC Symbol;Acc:HGNC:11531]
144	ORTHOMCL15277	Q6P3R8	NEK5_HUMAN	NEK5	HUMAN	NIMA related kinase 5 [Source:HGNC Symbol;Acc:HGNC:7748]
145	ORTHOMCL15333	O14594	NCAN_HUMAN	NCAN	HUMAN	neurocan [Source:HGNC Symbol;Acc:HGNC:2465]
146	ORTHOMCL15448	Q8NDG6	TDRD9_HUMAN	TDRD9	HUMAN	tudor domain containing 9 [Source:HGNC Symbol;Acc:HGNC:20122]
147	ORTHOMCL15462	Q5THJ4	VP13D_HUMAN	VP13D	HUMAN	vacuolar protein sorting 13 homolog D [Source:HGNC Symbol;Acc:HGNC:23595]
148	ORTHOMCL15484	Q8NAT2	TDRD5_HUMAN	TDRD5	HUMAN	tudor domain containing 5 [Source:HGNC Symbol;Acc:HGNC:20614]
149	ORTHOMCL15485	Q76I76	SSH2_HUMAN	SSH2	HUMAN	slingshot protein phosphatase 2 [Source:HGNC Symbol;Acc:HGNC:30580]
150	ORTHOMCL15505	Q7Z591	AKNA_HUMAN	AKNA	HUMAN	AT-hook transcription factor [Source:HGNC Symbol;Acc:HGNC:24108]
151	ORTHOMCL15560	O14924	RGS12_HUMAN	RGS12	HUMAN	regulator of G protein signaling 12 [Source:HGNC Symbol;Acc:HGNC:9994]
152	ORTHOMCL15563	Q8NBF2	NHLC2_HUMAN	NHLC2	HUMAN	NHL repeat containing 2 [Source:HGNC Symbol;Acc:HGNC:24731]
153	ORTHOMCL15626	O15085	ARHGB_HUMAN	ARHGB	HUMAN	Rho guanine nucleotide exchange factor 11 [Source:HGNC Symbol;Acc:HGNC:14580]
154	ORTHOMCL15701	Q71F56	MD13L_HUMAN	MD13L	HUMAN	mediator complex subunit 13 like [Source:HGNC Symbol;Acc:HGNC:22962]
155	ORTHOMCL15828	Q9Y6L7	TLL2_HUMAN	TLL2	HUMAN	tolloid like 2 [Source:HGNC Symbol;Acc:HGNC:11844]
156	ORTHOMCL15942	P00734	THRB_HUMAN	THRB	HUMAN	coagulation factor II, thrombin [Source:HGNC Symbol;Acc:HGNC:3535]
157	ORTHOMCL15985	P17844	DDX5_HUMAN	DDX5	HUMAN	DEAD-box helicase 5 [Source:HGNC Symbol;Acc:HGNC:2746]
158	ORTHOMCL16108	Q0JRZ9	FCHO2_HUMAN	FCHO2	HUMAN	FCH domain only 2 [Source:HGNC Symbol;Acc:HGNC:25180]
159	ORTHOMCL16182	Q9Y4D2	DGLA_HUMAN	DGLA	HUMAN	diacylglycerol lipase alpha [Source:HGNC Symbol;Acc:HGNC:1165]
160	ORTHOMCL16198	Q9BSV6	SEN34_HUMAN	SEN34	HUMAN	tRNA splicing endonuclease subunit 34 [Source:HGNC Symbol;Acc:HGNC:15506]
161	ORTHOMCL16300	Q9NVI1	FANCI_HUMAN	FANCI	HUMAN	Fanconi anemia complementation group I [Source:HGNC Symbol;Acc:HGNC:25568]
162	ORTHOMCL16328	Q9Y5W7	SNX14_HUMAN	SNX14	HUMAN	sorting nexin 14 [Source:HGNC Symbol;Acc:HGNC:14977]
163	ORTHOMCL16334	Q5S007	LRRK2_HUMAN	LRRK2	HUMAN	leucine rich repeat kinase 2 [Source:HGNC Symbol;Acc:HGNC:18618]
164	ORTHOMCL16340	C9JTQ0	ANR63_HUMAN	ANR63	HUMAN	ankyrin repeat domain 63 [Source:HGNC Symbol;Acc:HGNC:40027]
165	ORTHOMCL16360	Q7LBC6	KDM3B_HUMAN	KDM3B	HUMAN	lysine demethylase 3B [Source:HGNC Symbol;Acc:HGNC:1337]
166	ORTHOMCL16485	Q15058	KIF14_HUMAN	KIF14	HUMAN	kinesin family member 14 [Source:HGNC Symbol;Acc:HGNC:19181]
167	ORTHOMCL16631	P34913	HYES_HUMAN	HYES	HUMAN	epoxide hydrolase 2 [Source:HGNC Symbol;Acc:HGNC:3402]
168	ORTHOMCL16716	O75096	LRP4_HUMAN	LRP4	HUMAN	LDL receptor related protein 4 [Source:HGNC Symbol;Acc:HGNC:6696]
169	ORTHOMCL16783	Q9UKA1	FBXL5_HUMAN	FBXL5	HUMAN	F-box and leucine rich repeat protein 5 [Source:HGNC Symbol;Acc:HGNC:13602]
