ortho	swissProt	name	egn	db	description
ORTHOMCL16750	P20339	RAB5A_HUMAN	RAB5A	HUMAN	RAB5A, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9783]
ORTHOMCL1886	Q99715	COCA1_HUMAN	COCA1	HUMAN	collagen type XII alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2188]
ORTHOMCL2019	P13591	NCAM1_HUMAN	NCAM1	HUMAN	neural cell adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:7656]
ORTHOMCL2379	P07858	CATB_HUMAN	CATB	HUMAN	cathepsin B [Source:HGNC Symbol;Acc:HGNC:2527]
ORTHOMCL4033	A6NFN3	RFOX3_HUMAN	RFOX3	HUMAN	RNA binding fox-1 homolog 3 [Source:HGNC Symbol;Acc:HGNC:27097]
ORTHOMCL4407	Q9UFN0	NPS3A_HUMAN	NPS3A	HUMAN	nipsnap homolog 3A [Source:HGNC Symbol;Acc:HGNC:23619]
ORTHOMCL6357	Q15434	RBMS2_HUMAN	RBMS2	HUMAN	RNA binding motif single stranded interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:9909]
ORTHOMCL7384	Q6ZUJ8	BCAP_HUMAN	BCAP	HUMAN	phosphoinositide-3-kinase adaptor protein 1 [Source:HGNC Symbol;Acc:HGNC:30034]
ORTHOMCL9551	Q8TC07	TBC15_HUMAN	TBC15	HUMAN	TBC1 domain family member 15 [Source:HGNC Symbol;Acc:HGNC:25694]
ORTHOMCL14219	Q3MHG0	COG4_BOVIN	COG4	BOVIN	component of oligomeric golgi complex 4 [Source:VGNC Symbol;Acc:VGNC:27549]
ORTHOMCL17335	Q2HJF7	KCC2D_BOVIN	KCC2D	BOVIN	Calcium/calmodulin-dependent protein kinase type II subunit delta  [Source:UniProtKB/Swiss-Prot;Acc:Q2HJF7]
ORTHOMCL8768	Q32LC9	ZN330_BOVIN	ZN330	BOVIN	Zinc finger protein 330  [Source:UniProtKB/Swiss-Prot;Acc:Q32LC9]
ORTHOMCL17368	P83095	LACTB_BOVIN	LACTB	BOVIN	lactamase beta [Source:VGNC Symbol;Acc:VGNC:30764]
ORTHOMCL1876	A2VDZ9	VAPB_BOVIN	VAPB	BOVIN	VAMP associated protein B and C [Source:VGNC Symbol;Acc:VGNC:36764]
ORTHOMCL19316	Q0VC81	AA3R_BOVIN	AA3R	BOVIN	Adenosine receptor A3  [Source:UniProtKB/Swiss-Prot;Acc:Q0VC81]
ORTHOMCL18923	O93430	GLRA1_DANRE	GLRA1	DANRE	glycine receptor, alpha 1 [Source:ZFIN;Acc:ZDB-GENE-991117-1]
ORTHOMCL6750	P18519	TNR16_CHICK	TNR16	CHICK	Tumor necrosis factor receptor superfamily member 16  [Source:UniProtKB/Swiss-Prot;Acc:P18519]
ORTHOMCL2827	O61443	MK38B_DROME	MK38B	DROME	p38b MAP kinase [Source:FlyBase;Acc:FBgn0024846]
ORTHOMCL7489	Q9VCP0	ELOA1_DROME	ELOA1	DROME	Elongin A [Source:FlyBase;Acc:FBgn0039066]
ORTHOMCL6954	O18994	GPX5_PIG	GPX5	PIG	Epididymal secretory glutathione peroxidase  [Source:UniProtKB/Swiss-Prot;Acc:O18994]
ORTHOMCL10868	Q62371	DDR2_MOUSE	DDR2	MOUSE	none
ORTHOMCL10961	Q5SWD9	TSR1_MOUSE	TSR1	MOUSE	none
ORTHOMCL11732	P48763	SL9A2_RAT	SL9A2	RAT	none
ORTHOMCL11842	Q8CAQ8	MIC60_MOUSE	MIC60	MOUSE	none
ORTHOMCL12791	A3E4D8	CALM_PROMN	CALM	PROMN	none
ORTHOMCL13706	P79955	CTK2_XENLA	CTK2	XENLA	none
ORTHOMCL16224	A0FKN6	VMPA_LOXIN	VMPA	LOXIN	none
ORTHOMCL17162	B4GD14	LPHN_DROPE	LPHN	DROPE	none
ORTHOMCL17441	none	NA	NA	NA	none
ORTHOMCL17874	none	NA	NA	NA	none
ORTHOMCL18384	Q01514	GBP1_MOUSE	GBP1	MOUSE	none
ORTHOMCL18493	C3XVT5	LIS1_BRAFL	LIS1	BRAFL	none
ORTHOMCL18824	P10401	POLY_DROME	POLY	DROME	none
ORTHOMCL21663	Q5R6L3	DNLI4_PONAB	DNLI4	PONAB	none
ORTHOMCL21720	Q1LZA0	PIGB_BOVIN	PIGB	BOVIN	none
ORTHOMCL22310	Q91YK0	LRC49_MOUSE	LRC49	MOUSE	none
ORTHOMCL4394	none	NA	NA	NA	none
ORTHOMCL5131	none	NA	NA	NA	none
ORTHOMCL5626	A7RSH7	EIF3J_NEMVE	EIF3J	NEMVE	none
ORTHOMCL6383	Q9D8Z1	ASCC1_MOUSE	ASCC1	MOUSE	none
ORTHOMCL7362	Q5EY87	GRHL1_XENLA	GRHL1	XENLA	none
ORTHOMCL7697	Q5PQN4	MDM1_RAT	MDM1	RAT	none
ORTHOMCL7741	Q2N6R1	RL28_ERYLH	RL28	ERYLH	none
ORTHOMCL8022	none	NA	NA	NA	none
ORTHOMCL9032	P84770	IRS1B_XENLA	IRS1B	XENLA	none
ORTHOMCL11254	P0CF65	CRBN_CHICK	CRBN	CHICK	none
ORTHOMCL11599	Q6AXY7	PR38B_RAT	PR38B	RAT	none
ORTHOMCL1474	none	NA	NA	NA	none
ORTHOMCL1570	O23184	CML19_ARATH	CML19	ARATH	none
ORTHOMCL17974	Q8BJ64	CHDH_MOUSE	CHDH	MOUSE	none
ORTHOMCL2904	Q9DAA6	EXOS1_MOUSE	EXOS1	MOUSE	none
ORTHOMCL3095	Q6IRB2	HES1A_XENLA	HES1A	XENLA	none
ORTHOMCL3234	O08651	SERA_RAT	SERA	RAT	none
ORTHOMCL4349	F8J2D3	PLB_DRYCN	PLB	DRYCN	none
ORTHOMCL4479	I7C6E8	C7A52_PANGI	C7A52	PANGI	none
ORTHOMCL4638	Q8VEH8	ERLEC_MOUSE	ERLEC	MOUSE	none
ORTHOMCL5280	O97192	TPM_HELAS	TPM	HELAS	none
ORTHOMCL8172	none	NA	NA	NA	none
ORTHOMCL8286	none	NA	NA	NA	none
ORTHOMCL8692	Q7TN31	AGGF1_MOUSE	AGGF1	MOUSE	none
ORTHOMCL8988	P91753	MP62_LYTPI	MP62	LYTPI	none
ORTHOMCL9844	P37693	HETM_NOSS1	HETM	NOSS1	none
